大家的不爽,来啦,哈哈哈哈,哈哈哈,关注果断三连,第一第一,广东人不背锅,主角真的很像我堂弟,矖
就说明问题,啦宝,看完预告感觉看完了整部电影,哈哈哈哈哈,这么多人夸,来早了,我眼睛大的很,麻了,阿娟
我周围的人,来啦,五条人,个个都当自己是当代鲁迅,可票房就是上不去,怎么没有人呀,你说这是个猴儿我也信,真人造型不能这么搞,别认
就没有眯眯眼的,啦宝,我们学校就有舞狮的,电影不错的,骗进去就完成任务了,老婆我来看你了,广东人和留守儿童这次被黑惨了,动画人物可以,阿娟就是最棒的
效果导向,是呢,广东索普吧,巨好看,我初中也不剪头发,告诉我是不是第一名,因为这是一场中美话语权之争,主为了这个商单也是脸都不要了啊,少年强则国强
所以效果就是被骂了,还不如陆光和程小时还有乔苓帅呢,五条人,肝帝,和他差不多,错付了,是场硬仗,难得啊,恭喜
我看着就不舒服,因为外国人就希望我们长成这个样子,猪肉荣,想去看了,挺住,来早了,中国需要掌握审美话语权,这种现实题材多少年都不拍了,支持
看着就不想买,普通人看电影一般是想要享受美好的,五条人啊,但这真是丑得离谱,谎,抱歉,陈曼的作品就不会再出现了,五条人的道山靓仔,好耶
就这样,可以不好看,不,普通点也好啊,哈哈哈哈哈哈骂的好,你这体格舞狮估计要高反,真难看,不用重复那么多,买票了
不想参加讨论,但要顺眼,你是牙擦苏,哈哈哈哈哈哈哈哈哈哈,醒狮在广东的地位还是很高的,好开,若干年后将来西方人对我们竖起了眯眯眼的时候,我看魔童就受不了了,已二刷意犹未尽
谁洗都没用,或者电影足够优秀,包租婆打酱爆,舞狮超级帅,剧情确实有点不现实,雄狮少年,我们的子孙也懵逼的配合着眯起了眼,那不看了,好电影
一个两个还可以洗,让人接受不顺眼,老势势是汕尾方言很拽很嚣张的意思,可是这关日漫什么事,本来就很好看啊,对不起我不去看,没得洗,青蛇就是辣鸡,不喜欢人物的审美
全员眯眯眼,审美都还不够,题材不错,骂的也没有说自己喜欢日漫吧,五毛,确实,垃圾电影就该抵制,我知道好,央视点名表扬
