序号,内容
1,虽然和诚哥一样
2,感觉海报有些不好看
3,但是去电影院看了
4,超级感人
5,没事
6,已经不想去看了
7,后知后觉了属于是
8,好开
9,看到这还想去的怕不是沾点
10,你放心
11,没有
12,哈哈哈
13,夺笋啊
14,僎
15,哈哈哈哈哈哈哈
16,呗
17,节目效果拉满
18,请不要去看
19,谢谢
20,他要只是眯眯眼反倒还好
21,眯眯眼
22,上吊眼
23,宽眼距
24,叠好了
25,笋啊
26,好骂哈哈哈哈哈
27,哈哈哈笋哦我喜欢
28,你瞧瞧现在哪还有觉得
29,雄狮少年
30,好看的
31,这都导演请的水军
32,地缚灵啊
33,你丫别睁眼
34,哈哈哈哈对啊
35,关键你喜欢你还砸场子
36,夜场看完不恐怖嘛
37,诚哥你这个对焦
38,哈哈哈哈哈哈哈哈哈哈哈
39,日内瓦
40,退钱
41,好
42,太特么笋了
43,白给也不看了
44,诚哥旁边的结姐真漂亮
45,哈哈哈哈哈哈哈
46,传销吧
47,哪是下头
48,都快成降头了
49,舞狮又
50,得不露脸你咋抛头露面啊
51,白天没人看网上爆满
52,又在刷数据
53,要是这样的话他去抢个银行也能让他爸妈知道
54,笋到家了
55,嫎
56,诚哥你不是阳间人吗
57,怎么去阴间电影院看电影
58,嫎
59,给诚哥都气得出了影评了
60,嫎
61,西安人民表示
62,不能看电影
63,看诚哥哥也一样
64,嫎
65,草
66,这里都能见到炉石
67,櫎
68,阴兵出击
69,櫎
70,这个其实还是能理解
71,櫎
72,雄狮少年把剧情和画面做的越好
73,我就越感觉它把人物设计得丑是故意的
74,竎
75,哈哈哈哈哈哈哈哈哈哈
76,竎
77,哈哈哈哈哈哈
78,竎
79,姐
80,姐
81,竎
82,雄狮少年的剧情和画面越好
83,我就越感觉它把人物设计得丑是故意的
84,竎
85,竎
86,秀啊
87,竎
88,侕
89,哈哈哈哈哈哈
90,竎
91,哈哈哈哈哈哈
92,諎
93,这理由会不会太奇葩了点
94,諎
95,哈哈哈哈
96,諎
97,等上网站了就可以大批特批了
98,髎
99,林正英
100,的团票
101,髎
102,影评
103,髎
104,哈哈哈哈
105,诚哥实诚
106,能不能别唱歌
107,夜场还特别贵
108,不想
109,赓
110,走投无路了属于是
111,哈哈哈哈哈哈怎么会这样哈哈哈
112,没有
113,哈哈哈哈
114,还是争议出的一亿
115,好开
116,三联有了
117,好家伙
118,全是人
119,影
120,去他娘了个蛋的吧
121,草
122,这不就是当太监吗
123,实在活不下去没办法了
124,当太监吧
125,您想多了
126,不都是大人带小孩看的么
127,鈳
128,弔图一堆哈哈哈哈
129,损啊
130,损透了
131,这个过程就是奇迹
132,鳖侮辱我
133,嗷
134,就喜欢听天津人说哎呀
135,磙
136,哈哈哈
137,诚哥唱真好
138,下回别唱了
139,不不不放心
140,我不单电影院不去
141,电脑上也不会看
142,不去
143,眼儿大看不惯眯眼的
144,分钟
145,那个枕头是怎么回事
146,你身上有跳蚤
147,舞虱去吧
148,雄狮那个后宫
149,也许男人都想
150,不去买票就对了
151,硬来
152,这是什么文明剧情
153,师傅别海怕
154,他有病
155,没人去哈哈哈
156,哈哈哈哈哈哈哈
157,我说真的第一眼我以为雄狮少年是这个主角会是变种人啥的
158,这剧情就过分
159,我选立定跳远
160,对
161,鬡
162,主角舞狮没有爱
163,哈哈哈哈哈哈哈哈哈哈哈哈传销
164,看见嘛东西了
165,爹妈
166,我们平时也不兴看这个啊
167,缺第三条腿
168,于大爷
169,我要从南走到北
170,才意识到吗
171,蜘蛛侠变异了
172,人挺多的
173,不愧是我诚哥
174,一堆吹这电影的
175,都进我黑名单了
176,綤
177,这嘛呀
178,三只猴
179,怎么越听越像传销
180,我选
181,钝角
182,不用开倍速都
183,喜欢了
184,诚哥被看不见的人包围了
185,卡萨丁
186,林正英专场
187,你可以去旁边看误杀
188,啊
189,看这一段给我笑死
190,活脱脱一小丑
191,哈哈哈哈
192,我不想看
193,唐氏少年差不多
194,我选下象棋
195,新型骗局
196,期满坐满啊
197,哈哈哈
198,我以为大圣归来出前传了呢
199,你没吓着吗诚哥
200,十亿是蜘蛛侠
201,一眯眼不是小事情
202,我们都被逼到抛开眯眯眼不谈了
203,没事我不怕剧透
204,请使劲透
205,哈哈哈哈哈
206,我直接好家伙
207,可能你不知道
208,这花是清明前后开的
209,我但凡是有一点用
210,也不至于一点用都没有
211,累了
212,舞狮吧
213,少年啊快速创造奇迹
214,女主不是宣传员么
215,明白
216,传销洗脑的
217,哈哈哈立定跳远
218,唱的好
219,下次别唱了
220,好开
221,理解个鬼
222,这是电影不是现实
223,还是需要逻辑的好吗
224,哈哈哈哈
225,还是虚空的
226,亿
227,全是阴兵
228,你们看不见是因为没开阴阳眼
229,别尬黑
230,包场了嘛我的天
231,两极
232,水军
233,正常人
234,老板糊涂
235,有倒是有
236,不过给铺后边了
237,趬
238,一场的全是影评人
239,佛山去广州当年几块钱的车费
240,大家一定要看完我都笑麻了
241,阴兵过境
242,百鬼夜行
243,诸恶莫作
244,报应分明
245,好极了
246,剧透完就不用掏钱了
247,郭芙蓉与之相比都算女侠了
248,卧槽
249,我看到了
250,难道我也是替身使者
251,完
252,砸傻了
253,不想
254,不想看它
255,是很热闹啊
256,只不过都是阴兵
257,她听了男主说没练也没说啥阿
258,怎么就强加了
259,没事
260,尽管透我
261,我不去
262,这是盲流不是流氓
263,听说西安这两天夜夜电影院专场爆满
264,錬
265,我才反应过来是残酷天使行动纲领
266,好个屁
267,剧情老套的不行
268,类似的看过不下于五次
269,哈哈哈哈哈
270,广东的爸妈
271,男主不就在广东吗
272,那男主爸妈为啥不回去看他
273,天津话叫玩闹
274,后知后觉
