序号,内容
1,第一第一
2,来早了
3,怎么没有人呀
4,老婆我来看你了
5,告诉我是不是第一名
6,错付了
7,来早了
8,抱歉
9,你这体格舞狮估计要高反
10,好开
11,雄狮少年
12,对不起我不去看
13,确实
14,没有兵马俑看电影
15,我也好早
16,开了
17,我去
18,好早
19,可这玩意不一定是由
20,市场
21,设计的产品
22,更像是二鬼子表忠心的作品
23,弔图一堆
24,谁敢写啊
25,不给
26,怀疑这是泰语
27,好耶
28,好
29,分
30,下刺一腚
31,是么
32,都什么垃圾剧情
33,就是丑爆了
34,哈哈哈哈哈哈哈
35,我也是真快
36,读的不错
37,下次别读了
38,黏
39,哈哈哈哈哈哈哈哈哈哈哈
40,坎巴拉
41,参团
42,半佛
43,我喜欢女的牛老师
44,半佛可以当那个狮
45,哈哈哈哈哈哈
46,下次一定
47,哈哈哈哈哈哈
48,说白了
49,你敢教你爸爸做人
50,消费者就是
51,你爸爸
52,确实
53,你到说得标准喔
54,好骂
55,哎嘿
56,下次
57,做得太监舍得割
58,终于等到你
59,就别商业规则了
60,就不是中国人
61,老婆终于说这个啦
62,好活当赏
63,来了来了
64,确实
65,说得好
66,西安夜场每张
67,场场爆满
68,懂得都懂
69,就是想去国外冲奖嘛
70,让飞
71,在申遗了
72,你喜欢女的牛老师
73,发音不错
74,下次别读了
75,你可以打鼓啊
76,一股客家话的味道
77,只有诺兰能解决
78,上座率高达一点几
79,好开
80,主要是自以为高人一等呗
81,剧情我喜欢
82,广
83,人笑裂开
84,分钟
85,别说不是中国人了
86,是个人类都觉得他丑
87,吃的咸鱼抵得渴
88,傲慢的创作者
89,哈哈哈哈哈哈
90,速度转行去送外卖吧
91,骂的好
92,我出息了
93,是的
94,说的太好了
95,难看死了
96,真的建议给技术人员磕头谢罪吧
97,为了装逼糟蹋了那么用心的画面和配乐
98,我想到了美末二
99,一样的高高在上
100,一样的反人类
101,一样的充斥歧视
102,但你懂眯眯眼呀老婆
103,想站着把钱赚了
104,这个图太好笑了再看一遍
105,越是强调越表明你喜欢牛老师
106,文章看了
107,不要给艺术摸黑好吧
108,可是股票涨了呀
109,这就很尴尬
110,六千人观看
111,就是
112,非常非常宽容
113,读得很好
114,下次别读了
115,庵野痞子
116,他的股票涨上天了
117,票房算个蛋
118,猪还大眼睛呢
119,还有人吹这部电影票房过两亿
120,真的搞笑
121,洗白文自媒体拿的估计都不止两亿
122,塑料塑料
123,这破电影是谁拍的
124,导演很有钱
125,亏钱无所谓
