序号,内容
1,关注果断三连
2,这么多人夸
3,可票房就是上不去
4,骗进去就完成任务了
5,我初中也不剪头发
6,和他差不多
7,挺住
8,谎
9,哈哈哈哈哈哈骂的好
10,醒狮在广东的地位还是很高的
11,剧情确实有点不现实
12,本来就很好看啊
13,五毛
14,分
15,本来想给零分
16,不过画面不错
17,票房连哪吒零头都没有
18,划时代的一部中国动漫
19,期待更多这样的作品
20,真的好看
21,一分不给
22,负分
23,最后还去了上海打工
24,爷笑了
25,不会
26,你会收到三连
27,是我
28,詎
29,这电影有啥好泪目的我服了
30,詎
31,觉得好看的家里人都和雄狮少年里面主角长得一样好看哦
32,我打零分
33,坚决不看
34,大家都觉得很好看
35,该说不说
36,这仨伙计
37,左边像狒狒
38,主角像猕猴
39,那一嗓子喊的真的和大圣归来猴子特写一模一样
40,没有
41,大家都的好看笑死我了
42,哈哈哈哈哈哈哈全是看过的水军吗
43,嗯
44,结局很好
45,冠军继续去打黑工
46,很好看
47,这条
48,毛
49,对对对
50,分
51,我去的那一场
52,电影结束无人离席
53,有人在擦眼泪的
54,一部以掺沙子为主要目的地片子
55,怎么可能真的用心制作
56,只能
57,分
58,又看了遍黄飞鸿
59,鵡
60,我也觉得好看
61,我觉得挺好看
62,对
63,砎
64,真的好看
65,我可以打
66,分
67,这就是现实
68,这就是生活
69,兴趣爱好再喜欢都越不过生活
70,说的太过分了
71,电影很好看
72,弹幕笑死我了
73,我觉得好看
74,我身边广东人都长这样
75,宁可憋隔应广东人了好吗
76,没分
77,蟎
78,丶
79,蟎
80,随便买个票都是包场
81,哪吒的
82,我命由我不由天
83,不也是中二鸡汤吗
84,这片子比哪吒好看太多
85,真
86,我觉得超级好看
87,因为技术的铺垫越厚
88,夹带私货时才可以软着陆
89,正所谓又当又立
90,感谢阿婆主帮我们踩雷
91,哪吒不俗套
92,我笑了
93,哪吒很好看
94,我是真没感觉
95,说好看的赶紧刷票房三次
96,在这刷存在感干啥
97,现实也是啊
98,遇到挫折总有那句话会让你重拾信心
99,国漫天天都在崛起
100,绷不住了
101,逾期太高了
102,还有方言歌
103,人物我也觉得很到位
104,主人公的外形变化
105,我也觉得很好看
106,特别是配乐
107,镜头感
108,唢呐和大鼓
109,中国式寓意
110,我全程没玩手机
111,笑看全场
112,最后都要哭了
113,我觉得很好看
114,我觉得很好看
115,眯眯眼就离谱
116,人物形象挺好的
117,平凡的可爱
118,接地气
119,很好看啊
120,曲
121,彡
122,广东人表示
123,我不长这样
124,真的好看
125,很有生活气息
126,我完全代入了
127,看到后面根本没注意主角团的美丑了
128,雄狮少年已被法国电影节提名
129,东方人物形象典范
130,我觉得好看
131,三连有了
132,同感
133,跛
134,五分我都嫌多
135,真的看疲了
136,分
137,詛
138,一分都不给
139,惛
140,就不能给个
141,分选项么
142,不能这么说
143,狮子的造型也不错
144,对不起一般这两字
145,弹幕就离谱
146,负分
147,没有
148,分选项
149,分
150,那么激动干啥
151,电影很好看
152,时间会告诉我们它是烂片
153,有人说是巅峰
154,旅程碑
155,通过这部动漫电影
156,我更喜欢舞狮文化和广东了
157,我觉得那种蜕变很帅
158,我对广东也越来越有好感
159,真的
160,全场没喝水没上厕所泪目看完
161,看了这部就是我的好姐妹了
162,我也感觉好好看
163,虽然练舞狮没那么短时间但是立意好
164,我
165,觉
166,得
167,很
168,好
169,看
170,大
171,家
172,一
173,定
174,要
175,去看
176,支持
177,没有创新哪里来的文化输出
178,分都没有
179,分吧
180,痎
181,钱到位了
182,我觉得很好看啊
183,为什么没有
184,分选项
185,但是哪吒也是被捧上去的
186,后面有观众
187,五分
188,都多
189,比不上罗小黑
190,点错了
191,还有观众
192,勇敢
193,这是我今年所看的最好的电影
194,眯眯眼可是
195,特色
196,美啊
197,太喜欢眯眯眼了
198,主说的真好
199,来
200,广东朋友支持你
201,其实哪吒也不咋
202,我觉得没啥太大问题
203,笑死
204,全篇评价不说剧情细节
205,他批评的说辞都是大而空的话
206,适用到哪部作品都行
207,难道不是这样的吗
208,这就是他
209,看过
210,的感悟
211,一看就是假的好吗
212,分
213,还不错啊
214,分
215,没关系
216,每个人看东西的深度是不一样的
217,我觉得很好看啊
218,啊哈哈哈哈哈哈哈寄汤来咯
219,挺好看的
220,没这么一文不值
221,最近电影院里值得一看的电影
222,我觉得很好看呀
223,典中典
224,点赞投币了
225,简单来说就是受不了嘴遁
226,看到大家都在骂我就放心了
227,居然没有
228,分
229,差评
230,我觉得很好看
231,很贴近事实
232,漫威跟迪斯尼都鸡汤老套那么多年了
233,也是一个个看的津津有味
234,我就是庸俗的人觉得挺好的
