序号,内容
1,哈哈哈
2,哈哈哈哈哈
3,个个都当自己是当代鲁迅
4,电影不错的
5,巨好看
6,肝帝
7,想去看了
8,但这真是丑得离谱
9,普通点也好啊
10,哈哈哈哈哈哈哈哈哈哈
11,舞狮超级帅
12,可是这关日漫什么事
13,骂的也没有说自己喜欢日漫吧
14,不要随意加内容
15,就是
16,额
17,我就这小眼睛
18,最大的难点应该一直都是表情吧
19,这部电影真的超级美
20,每一帧都是壁纸
21,美国人也不长辛普森一家那样啊
22,英国叫乔治的也不是猪啊
23,人物就是刻意的啊
24,胖子猪样
25,瘦子猴样不是夸张的手法吗
26,真的很美
27,哈哈哈哈哈哈哈哈哈哈哈
28,完全没注意到这个小雪人
29,这又啥刻板印象的
30,我认为是实景嘞
31,说浑身不适的
32,也不至于吧
33,主要说的不是丑而是眼间距宽眯眯眼符合西方对亚裔的偏见吧
34,不要随便扯上二次元啊
35,拿个反派特意搞的戏剧效果说说什么呢
36,真的第一眼看得出这建模和光影是花了很多功夫的
37,哈哈哈哈
38,关注了
39,就冲
40,这句
41,骂得痛快
42,九连
43,已三连
44,不好意思
45,老子家里三个都是单眼皮
46,笑起来就是一条线
47,本人广东佛山人
48,看了电影就知道
49,又不是所有人都是小眼睛
50,是的
51,哈哈哈哈哈哈哈哈哈哈
52,我觉得哪吒蛮好看啊呀
53,但是这部全是故意搞丑
54,就很刻意了
55,哈哈哈哈哈哈哈哈哈哈
56,我真是感觉到了舞狮的美
57,哈哈哈哈哈哈
58,哈哈哈哈哈哈哈哈哈哈哈哈
59,最后一起打鼓这一段真的太燃了
60,可能有的人智慧还没有开化吧
61,人们愤怒的不是丑
62,而是眼睛
63,真的没必要偷换概念
64,即便你是大眼睛也可以丑
65,但导演选择一个更恶心的方式
66,对
67,这部剧眼间距放普通人身上就很奇怪
68,不至于差评
69,但是主角团长的奇怪反而不像普通人
70,背景做的那么好
71,人物就很奇怪
72,边缘人不全都是丑的啊
73,好歹还有普通的呀
74,哈哈哈
75,文娱圈反贼多谁不知道啊
76,可愛獅頭演技棒
77,演小人物就想到周星驰
78,他大双眼皮
79,关公狮
80,这个狮子很漂亮
81,背景是真漂亮
82,要看内核啊啊啊
83,鈭
84,看过
85,心灵奇旅
86,吗
87,人脸很窄很长也不是照着真人去做的
88,为什么雄狮少年就被追着骂
89,哈哈
90,反正我喜欢
91,刷支持了
92,关注电影本身传递的思想才是重点啊
93,这脸的设计真的太刻板印象了
94,动漫就是动漫为什么要扣在真人身上
95,啊
96,这朝二次元开什么火啊
97,为什么人物一定要漂亮呢
98,这些评论怕不是脑袋有问题
99,我的天
100,六级号什么东西呀
101,电影里也不是所有人都长这样
102,看过
103,很棒
104,三连了
105,曏
106,借你吉言
107,木棉花
108,确实真的丑
109,我觉得没啥问题啊
110,一个个审美都那么高以后自己画去呗
111,广东人不会真的长这样吧
112,有的人的辫子再心中
113,就因为外国人用眯眯眼丑化搞刻板印象就不允许我们自己人真的有眯眯眼存在
114,有事吗您
115,看过很棒
116,还好吧
117,我没觉丑的过分
118,客家人表示超级开心
119,应该都是黑的才对
120,建模真的很有水平很厉害
121,我要去看
122,我要去看
123,就是
124,骂的好
125,美术声乐配合极佳
126,哈哈哈哈哈哈哈哈哈哈
127,票房扑街了
128,哈哈哈
129,哈哈哈哈
130,周日看了
131,隔壁一个大叔看到阿娟回忆那段摸摸擦眼泪
132,我一定要去看
133,就明天晚上
134,认为小眼睛就是刻板印象的想法
135,又何尝不是一种刻板印象呢
136,你主要是长的
137,刻板印象
138,所以被人骂了
139,真的很厉害
140,哈哈哈哈哈哈绝了骂的好
141,额
142,我就长这样我是不是该自杀
143,哈哈哈哈哈哈哈
144,其他方面再好也不能掩盖它在人物设计方面的问题
145,质疑设计
146,好烦只看外表的网友
147,电影看完真的很热血沸腾
148,上周就看了超好看
149,哈哈哈飘飘好狠我好爱
150,本佛山人百分百坚信导演在我家附近装监控了
151,我觉得被骂的莫名其妙
152,偎
153,哎呦我真的会被因为小眼睛就被劝退的人气死
154,灎
155,好词好句
156,价值体系回归
157,聎
158,号看的
159,今天才更
160,飘飘好慢
161,聎
162,天啊太好看了吧
163,聎
164,哈哈哈
165,過
166,那个狮头掉下巴笑死我
167,過
168,我客家话听懂了
169,過
170,一语中的
171,過
172,莔
173,真的好看
174,冷知识
175,豆瓣有
176,没看过
177,等字样的一律不计入评分
178,这长相也忒离谱了
179,哈哈哈哈哈
180,就画面水平来看
181,真的很厉害
182,人物外形吵到动画去我也是无语
183,狗头人身是不是也要去骂
184,这个电影真的好看
185,逓
186,很好看啊
187,象王行
188,飓
189,剧情好看并不影响他眼间距小眼睛吊眼不好看
190,不是丑
191,除了美以外还有
192,很多层次啊
193,也有人不是小眼睛啊
194,我明天上午的场次
195,电影好看的
196,对
197,对
198,责任和担当
199,这不也是个动漫吗
200,为啥要说真人没有这个长相
201,第十放映室不是六公主的
202,是
203,的
204,迪士尼符合欧美人审美
205,你也喜欢说明欧美主流审美很久了
206,亚洲无形中被隐形
207,等我考完试去看
208,哪个地方到处是这种样貌的人
209,看过
210,确实一般
211,你讨厌又能怎样
212,你要不花钱让他下映
213,这动画画质
214,可是我们广东人真的没几个长这样的谢谢你
215,六公主还给
216,上节目呢
217,你晒张照片让我看看你头发有多短
218,物粒牛肉丸
219,来颗牛肉丸
220,清华美院
221,画风就是正常人的眼睛不行吗
222,一定要占脸一半
223,栔
224,电影是做的好
225,迎合西方审美也是真的
226,貣
227,周六刚去看了
228,强推
229,而且超喜欢结尾
230,我就住在芳村震惊
231,保护
232,汕尾
233,干得漂亮
234,保护
235,毛绒绒的超可爱
236,保护
237,保护
238,这唢呐把我天灵盖掀开了
239,说是写实是现实主义但是现实中广东人眼距没那么宽啊
240,而且电影里也有长得好看的
241,有些人就是选择性眼瞎
242,哈哈哈哈哈哈哈笑死
243,祝福
244,是真的真的真的超级好看
245,超级意外
246,眯眯眼怎么了
247,合着你中国人都是大眼睛双眼皮呗
248,明明是对这种长相自卑
249,还硬要找借口
250,很好看
251,特别想看
252,但因为疫情
253,我们这边电影院关了
254,但是
255,背景角色
256,连女阿娟都咪咪眼啊
257,这是丑
258,不是普通人吧
259,这个眼睛比例太离谱啦
260,救命
261,好丑
262,惨不忍睹
263,不忍直视
264,电影主角是无所事事的农村留守少年你用哪个脑子能归纳出电影表达的是农村少年就得无所事事
265,陈独秀
266,在没有仔细审视这部作品之前
267,只因三个主角设定都是小眼就急的跳脚
268,这过度敏感的可悲姿态
269,中国人失掉自信力了吗
270,就是就是
271,鯔
272,票房上座率靠你们了
273,加油
274,六公主
275,我信息六公主
276,对不起我就长这样
277,而且农村的景真的绝了
278,跟我的家乡有很多相似的地方
279,不是丑是奇形怪状的
280,普通也没有必要走这个奇形怪状的路线
281,那个说背景角色是眯眯眼的
282,你眼睛大
283,可惜瞎
284,当时在影院看到这个觉得超好听
285,画面也很配
286,哪吒不行是因为故事太老套了也不够深刻
287,强行拔高立意
288,我觉得跟老版红楼梦里林黛玉的眼型有点像
289,勾罕见
290,这女的眼睛不是挺大的吗
291,爷一定会看
292,果然垃圾观众太多了
293,我真有同学长这个样子
294,不是清华美院的说了不算
295,这周就买票
296,好多
297,都被冲了
298,中国动漫那么多正常人长相你就非得提国外
299,个人觉得哪吒确实一般
300,剧情拉垮
301,牛逼
302,阿吧
303,哪吒我是出了票钱的
304,但是我还是觉得主角唐氏
305,求狮头精致手办
306,强哥的唢呐
307,一个动画不能夸张
308,你怎么不喷葫芦娃全是棱形眼纸片人啊
309,一个美术风格犯着你了
310,哇
311,哈哈哈哈哈哈
312,哇
313,我要去看了
314,刚才那几部老片子都是凤眼
