序号,内容
1,哈哈哈哈
2,看完预告感觉看完了整部电影
3,五条人
4,我们学校就有舞狮的
5,广东索普吧
6,五条人
7,猪肉荣
8,五条人啊
9,不
10,你是牙擦苏
11,包租婆打酱爆
12,老势势是汕尾方言很拽很嚣张的意思
13,题材不错
14,等你好耐啦
15,有点广东腔的味儿了
16,画风有个性
17,针不戳
18,看起来不错啊
19,三个舞狮的少年
20,哈哈哈哈哈哈
21,男主
22,还挺
23,乖
24,五条人
25,这质感不错啊
26,啊啊啊木棉花细节
27,画风很有个性
28,马冬梅的大叔
29,我要睇粤语配音版
30,唱的歌是闽南话
31,才发现
32,大圣
33,如果是粤语或福建话就完美了
34,浓浓的迪士尼亚洲人画风
35,千金散尽还复来
36,五条人
37,冷静一下
38,哈哈哈哈哈
39,哈哈哈哈哈到时候一定看
40,哈哈哈哈
41,这不是
42,大圣归来
43,的孙悟空
44,期待了
45,哈哈哈哈哈哈哈哈
46,五条人
47,这
48,这光影细节
49,真的无敌了我还以为皮克斯的新作
50,能不换个故事模板
51,看到舞狮和海边就猜到闽南了哈哈
52,米津雄狮
53,渲染真好
54,别和蜘蛛侠硬碰啊
55,我很喜欢雄狮少年的呀
56,这是时间每天拍不到一场
57,我靠元华
58,这三个确实缺个师傅
59,舞西
60,题材很好啊
61,我靠做的不错啊
62,宝芝堂三兄弟
63,猚
64,主角说广普可能更有味儿
65,人设很棒
66,很有年代感
67,加油
68,感觉不错
69,狂鼠
70,期待一手
71,五条人
72,看起来好棒
73,感觉不错
74,雄狮少年
75,站有官方号就叫电影雄狮少年大家快去关注呀
76,回力
77,茂名普通话
78,不错哦
79,西游之再续师徒缘
80,哈哈哈哈哈哈
81,讲舞狮吗
82,期待
83,眯眯眼是吧
84,哈哈哈哈哈哈哈哈哈哈
85,强烈要求粤语配音
86,广东人太期待了
87,画风好看
88,不错不错
89,可以
90,想看
91,五条人
92,画面质感相当不错
93,不像闽南话
94,茡
95,怎么感觉像是换皮孙悟空
96,不错
97,哈哈哈哈
98,一定看
99,题材也得支持一下
100,画风好独特
101,迷上了
102,光影不错
103,都是小眯眼
104,这三个是悟空
105,八戒
106,沙师弟
107,好棒
108,是少时回忆里的场景
109,虽然但是个人觉得这段配音有点出戏
110,我命由我不由天
111,太真实了
112,穳
113,非常真实
114,穳
115,这歌是不是五条人唱的啊
116,舞
117,加油啊中国动画
118,挺期待
119,祝我能解封出去看
120,卧槽
121,我想看
122,这剧人物名字绝了
123,认真的吗
124,阿娟
125,是
126,男的
127,潮汕人
128,还踢球
129,这三好像猫猴猪哦
130,闒
131,爆丸小子训练营
132,是西游记吗
133,声音好像彭于晏
134,画风感觉还不错耶
135,五条人唱的
136,五条
137,李白说的很有可能是
138,天生吾徒有俊才
139,这
140,画质很不错
141,五条人
142,我一把子期待了
143,为啥感觉像眯眯眼
144,又是眯眯眼
145,好期待
146,好有意思啊哈哈哈哈哈哈
147,一看就是南方地区
148,一个两个黑不拉秋的
149,哈哈哈哈哈哈哈
150,好瘦啊
151,虽然但是
152,感觉好好看啊
153,支持
154,五条人
155,我要做东京的帅哥
156,感觉还不错
157,配音很接地气
158,这一听就系广西的友仔啊
159,硸
160,画风不是迪士尼好评
161,我也是
162,讲舞狮的吗
163,哇
164,好期待
165,游生
166,我去
167,有点意思
168,有内味了
169,还不错啊
170,小眼睛眯眯眼是吧
171,这也太好看了吧
172,太符合审美了吧
173,给心心
174,卧槽
175,五条人
176,你票有了
177,想看
