序号,内容
1,来啦
2,啦宝
3,来啦
4,啦宝
5,是呢
6,还不如陆光和程小时还有乔苓帅呢
7,因为外国人就希望我们长成这个样子
8,普通人看电影一般是想要享受美好的
9,可以不好看
10,但要顺眼
11,或者电影足够优秀
12,让人接受不顺眼
13,审美都还不够
14,哪里有审丑的基础呢
15,好看
16,广东人长这样
17,我信你个鬼
18,是对人文地理的采风
19,不是人物模型
20,看了
21,茎
22,没看
23,茎
24,没看
25,錎
26,看了
27,没看
28,没看
29,没看
30,禤
31,没看
32,没看
33,没看
34,没看
35,看了
36,没看
37,没看
38,没看
39,挺好看的
40,入海
41,广东采风是采的风景啊
42,坐标西安
43,是去不了
44,单纯只是样子好不好看的问题吗
45,单纯吗
46,自来水
47,对啊
48,所以网上怼的这么厉害我就不太明白
49,只能说有人作怪
50,真的相猩猩
51,看了
52,这不是我们看外表的问题
53,这是西方人用这个歧视我们的问题
54,好看
55,又好笑又好哭
56,本来就是小人物电影嘛
57,赞同
58,但我觉得不是好不好看
59,顺不顺眼更合适
60,主角一群人甚至不如胖子和大叔造型正常
61,这胖纸是最顺眼的
62,没可比
63,一个是爽文一个是现实
64,小人物凭什么就必须长得畸形
65,剧情也不好
66,给人递刀子
67,其实也没什么的啦
68,只不过是动画风格而已
69,你想去看那些都长的一个样的网红脸模子吗
70,这不是好不好看的问题
71,一句广东人就长这样真的得罪了整个中国人
72,是呀就是这么回事儿
73,更何况还让我掏钱
74,你在放屁
75,中国电影能好好讲故事就已经难得了
76,就是最普通的平凡人长相才能更拉近和现实观众的距离
77,换句话就是扣帽子咯
78,关键是没他喵一个能睁开眼的
79,真的很难受
80,我很想二刷
81,也是因为疫情
82,那不是很出戏吗
83,怎么可能
84,长得丑就不配当主角么
85,丑人就不配拥有高光时刻么
86,这帮人也是搞笑
87,怎么能接受哪吒有烟熏妆
88,为什么不能接受身边普通人长这样呢
89,不是双标是什么
90,就是人设没做好不讨喜
91,燍
92,站才几个人啊
93,大数据背景下
94,又有几个被推送了这个电影啊
95,大数据已经把我们禁锢了
96,人物设计很奇怪
97,故意丑的影响观感
98,主是成熟观众吗
99,审美狭隘
100,你去美丽人星球生活吧
101,不好看和丑是有区别的
102,这眼距
103,受不了
104,啥都能上纲上线的
105,面对国内的中文动画片扯什么外国审美歧视
106,广东人不背这个锅
107,这是广东人被黑的最惨的一次
108,哦
109,动画风格
110,那是不是迪士尼福克斯宫崎骏等等长的和某唐氏画风不一样的都是网红脸啊
111,确实
112,您是分不清妆和五官位置的区别
113,您能长这样希望
114,张自拍让我大开眼界
115,不是采风得来的人物形象
116,采风仅仅是采景
117,篌
118,永远不会看
119,还是白蛇团队来做审美吧
120,至少不咋坑
121,看了
122,广东人难看
123,挖草
124,会不会说话
125,避重就轻了
126,真实原因就是眼睛
127,哪
128,有矛盾有问题不去修改反而发酵它
129,不是主角问题是这三个
130,都得唐氏都眯眯眼说不是故意的我真的不信
131,说理性就是拉偏架
132,不不不
133,是一看成分就不一般
134,对
135,我真的不想去看一部人物让我看的不舒服的电影
136,广东风评被害
137,水军评论不要太多
138,丑拒
139,唐氏综合征儿童也不是中国大多数
140,丑化南方人中国人
141,导演学学什么是艺术再来搞我们南方的醒狮
142,别他么丢人
143,你为什么要说坏话
144,你这样让水军怎么办
145,广东人长这样
146,大眼睛也可以普通不好看呀
147,比如我
148,人家说的是
149,在广东采风画的风景
150,对
151,我就是这样不是说他不好
152,只是他的画风我看得不是很舒服所以我没去看
153,普通人不长这样
154,我觉得有人带节奏
155,本来美术风格这么点事不至于撕的那么疯狂
156,长的不好看
157,就不配当主角么
158,小人物就必须丑
159,这就是歧视小人物
160,白蛇故事挺拉的
161,脸巨尖
162,看着还是有点难受的
163,丑人就不配大眼睛或者窄眼距吗
164,这本来就不是大多数人
165,他们拼尽全力
166,只想拿到大多数人的剧本
167,逻辑上有不通哦
168,我想看
169,箥
170,网上这些洗的人
171,那我以后是不是可以认为
172,人就是这样呢
173,所以中国人继续忍受误杀
174,这种烂片吧
175,看了
176,除了技术
177,一无是处
178,他长相可不普通
179,真是普通人长相就好了
180,不是主角长相的问题
181,是故事本身的问题
182,垍
183,不符合大众的就是不好看的
184,不好看就不能当主角
185,醉了
186,这句话被断章取义了
187,太惨了
188,莵
189,背心这个像只耗子一样
190,这电影里面的几首音乐质量很高
191,这跟审美没啥关系
192,大众也不是说主角不可以丑
193,大众只是觉得可以丑但不能畸形
194,西安的表示想看也看不了
195,优紧劣松
196,好看的
197,确实
198,的话应该会好很多
199,可是师母就很好看啊
200,有特色还是普通人
201,我以后不想看这种怪脸
202,所以这部必须死
203,电影剧情很一般呀
204,劤
205,给迪奥陈曼之流洗地的那帮腿子被喷之后心怀不满现在逮到个机会疯狂带节奏罢了
206,竍
207,不符合大众审美就是丑
208,只能看美的
209,这么傲慢
210,看不得丑的
211,这么自卑
212,怎么说话那么奇怪
213,优秀的词语变成形容一部电影一般的意思了
214,劤
215,剧情说实话也没有那么好
216,嬍
217,人物太丑了
218,不会去看
219,不是丑
220,我想说这画面看着挺顺眼的
221,但眼睛特征就是西方刻板印象
222,这不送刀子吗
223,真的好丑啊
224,光看这个短片就感觉很不舒服了
225,点错了
226,我没看过
227,信不信我随手在广东找个眼珠子大的来天天瞪着你发慌
228,丑也算铺垫
229,不符合主流
230,法国打算把他当做国漫人物标准形象了
231,蕤
232,同一个文案
233,好多
234,再发
235,杺
236,这是不好看的问题吗
237,明显的歧视
238,杺
239,采风采的是景色
240,不是人物形象啊
241,形象是主创们按自己的设计思路夸张化得来的
242,白蛇就算了吧
243,锥子脸也不好得到哪里去
244,你自己拿手机换个滤镜照一照不就是白蛇青蛇咯
245,白蛇算了吧
246,眼睛大的我看的难受
247,小胖子脸大就显五官小
248,还紧凑一点
249,看起来都比别的舒服
250,怎么不难受
251,你没发现现在国漫都是白人脸吗
252,而且是男性整成白女
253,别人说了是普通人形象长这样
254,丑坏了的建模
255,显然是故意的
256,作为广东人
257,好想叼柒佢
258,就是不正常的丑非要说是普通人
259,慷
260,这是人物张的不好看的事情吗
261,獎
262,说实话
263,哪吒的剧情饱满程度
264,我觉得都比不上这部吧
265,我就是强忍不适去看电影了
266,这眼睛是最大扣分项
267,而且主角父亲受伤也很牵强
268,都丑爆了
269,还不让说
270,我就仅仅是觉得
