序号,内容
1,大家的不爽
2,就说明问题
3,我周围的人
4,就没有眯眯眼的
5,效果导向
6,所以效果就是被骂了
7,我看着就不舒服
8,看着就不想买
9,就这样
10,不想参加讨论
11,谁洗都没用
12,一个两个还可以洗
13,全员眯眯眼
14,冲着国外拿奖去的吧
15,你周围没有
16,不代表不存在
17,你的世界不代表全世界
18,而且正常的眯眯眼和他们刻意夸张加工后的眯眯眼也完全不是一回事
19,但
20,哈哈哈
21,关键是他做的不好看啊
22,不单单小
23,还小的丑
24,眯眯眼丑的要死
25,可以有
26,但是不能是全部啊
27,一点都不尊重
28,看着恶心人
29,我不讨厌眯眯眼
30,我身边就有眼睛小的同学
31,但你特么特意化妆把眼睛画小
32,照片服饰妆容丑话
33,引起不适
34,你这不是恶心我这是什么
35,这不是眯眼睛这是唐氏综合症
36,抵制这类作品
37,和审美无关
38,就是一个用了
39,风格形象做广告的问题
40,通过转移焦点和稀泥不可取
41,关键是大眼睛审美也是六七十年代脚盆漫画传过来的啊
42,毕竟浓眉大眼在这词最早出处可是形容又丑又凶的人
43,屫
44,年的事情
45,正常就好
46,也没说要大眼睛呀
47,但雄狮少年的眼距是三庭七眼了吧
48,我反正是永远不可能支持
49,多元吗
50,一部动画电影里全是眯眯眼
51,重点不在这里
52,动画夸张点没什么
53,而是创作者自己说是写实的
54,那不就跟扯淡一样
55,好继续作
56,希望奔驰不要怂
57,管得宽
58,就不看
59,这花了多少钱
60,人的长相有特点
61,对
62,但是不是唐氏综合征
63,那哪是美呀
64,那是病态
65,标准申论模板
66,正常碰撞
67,啊呸
68,钱在我的口袋里
69,我乐意花钱看大眼睛美女姐姐
70,就是不看
71,麻烦写出这篇报道的人
72,看看模特的其他视频照片
73,恶心玩意
74,腈
75,既然要多元化
76,眯眯眼都被西方炒这么多年了
77,那现在就少点吧
78,书读得多了就没人情味了
79,全是大道理
80,那种眯眯眼妆完全就是化出来的
81,和小眼睛没一点关系
82,你让白雪公主化那个
83,妆也丑啊
84,早该出手了
85,关键人家做这个也不一定冲你口袋里的钱来的
86,人家有更大的生意
87,舔好主子不愁钱
88,这次如果被他们得逞
89,以后的影视
90,广告全是眯眯眼
91,扣帽子
92,您可真善良
93,你这避重就轻了
94,这哪是眼睛小的问题
95,这是一种病态
96,我阿祖是自愿的
97,櫎
98,观点比较折中
99,但是中立客观
100,櫎
101,这片的受众的外国人
102,眼睛可大可小
103,但是要精气神十足
104,请注意
105,眼睛可大可小
106,但是要精气神十足
107,这该不会是老胡写的吧
108,日常生活中谁会去说别人眼睛小啊
109,奔驰广告代言也是眯眯眼
110,制片导演故意的吧靠
111,支持的意思
112,我们是爱国主义者
113,可我们并不会因此而变得无比盲目
114,斜眼妆和眯眯眼是两回事
115,不管是雄狮少年
116,还是三只松鼠的模特
117,还是陈漫的照片
118,那一些人的眼部都是经过化妆过的
119,这不是单存的眯眯眼
120,一个小眼睛就算了
121,全
122,小眼睛是几个意思
123,凸显丑化和正常长相是两回事
124,他
125,感觉没有什么用
126,好像在扯皮条
127,活出自己的多元
128,別人会看见
129,审美
130,不是审丑啊
131,那个师傅老婆全剧最好看最正常的了
132,蓘
133,动画和媒体狡辩
134,包容不等于让你贱
135,前面的不懂乱说什么
136,浓眉大眼是形容人老实
137,一个好词怎么被你说成这里
138,审美
139,不是审丑啊
140,自己上赶着
141,在影视
142,广告里
143,迎合别人的
144,印象
145,贱不贱啊
146,审美
147,不是审丑啊
148,自己上赶着
149,在影视
150,广告里
151,迎合别人的
152,印象
153,贱不贱啊
154,审美
155,不是审丑啊
156,自己上赶着
157,在影视
158,广告里
159,迎合别人的
160,印象
161,贱不贱啊
162,审美
163,不是审丑啊
164,自己上赶着
165,在影视
166,广告里
167,迎合别人的
168,印象
169,贱不贱啊
170,李荣浩帅不帅
171,帅
172,小眼睛
173,刻意营造化妆的吊梢眼
174,清朝时华人劳工被卖到美国干活
175,长期呆在黑暗的船舱里
176,到岸出舱时被阳光刺的眯起眼睛
177,或者被美国人用力扯着辫子
178,才有了眯眯眼
179,别搞什么
180,眯眯眼对立
181,让我们觉得恶心的是行为和令人作呕的黑心
182,不是样貌
183,这不是包容不包容的问题
184,这是有点刻意了
185,以后遇到白人或汉奸
186,直接用
187,打招呼
188,我就想知道谁家小眼睛跟眯眯眼是斜吊着长的
189,主角丑就不看
190,那种妆容就是西方可以丑化亚洲尤其是中国女性的
191,癆
192,长相是长相
193,形象是形象
194,别被居心之人带偏
195,恶心
196,凭什么畸形的审美要普罗大众去接受
197,也就不爱看
198,以我朴素的审美来看
199,是真的丑
200,这只是探讨
201,我身边一个眼睛眯成缝都没有
202,雄狮少年必然是主观故意
203,跟韩国财阀套路一样
204,披着文化的外衣赚着钱行抹黑侮辱之事
205,你还拿它没办法
206,欎
207,这种比动画片抽烟镜头更恶劣
208,眯眯眼没什么不好
209,但是故意画成上挑的就是有目的
210,这个文章写的有水平
211,审美怎么可能是客观的
212,蛛
213,你搁这搁这呢
214,还写诗呀
215,没瞎的人一看就知道啥意思
216,甲侮辱乙
217,乙想一下
218,他是不是不是在侮辱我
219,你到底是甲还是乙
220,如果模特长相会受质疑
221,自己平时就更应该注意接单
222,欼
223,阴间来的
224,求专业人士能出个中国式审美
225,不然中国人都只配用眯眯眼
226,用其他的就被说是西方审美
227,西方自己的模特都是什么样的
228,不转移斗争大方向
