序号,内容
1,以后校园霸凌会不会多了一个
2,眯眯眼霸凌
3,他的筷子腿吗哈哈哈
4,蚒
5,我开始以为是韩国的电影
6,可能就是因为主角的脸不是天生的吧
7,而是人赋予的
8,迪士尼风
9,我觉得挺有特色挺好看的
10,千篇一律的大眼睛就好看
11,好看了就不抨击
12,难看了才抨击
13,有一个原因
14,国人的审美偏向于大眼小鼻子
15,所以不乐于接受眯眯眼
16,我觉得很符合全中国动画风格
17,穕
18,说的好
19,国外对国内眯眯眼霸凌已经够多了
20,那所有小眼睛就不能成为主角了吗
21,跟很多人不能接受自己不美颜的照片一个道理哈哈哈
22,什么是迎合
23,那白蛇美女都是白皮肤大双眼皮难道不是迎合的西方主流审美吗
24,偏要说迎合还不如说现在主流审美就是朝欧美长相靠拢好吧
25,是的
26,但是跟他们说这些没用
27,前面的
28,凭什么眼睛小就是难看呢
29,笑死
30,眼睛设计的小一点就说是迎合国外人对于国人的刻板印象
31,前面的自尊心未免也太容易受挫了吧
32,退一万步讲
33,迎合国外的人也得受众群体是外国人吧
34,明显这部动画电影的受众群体是国人
35,又何来迎合外国人审美这一说
36,可以夸张但是不是本来就夸张
37,写实的也很多
38,有些人真的不懂
39,怎么说都不会明白的
40,说的太对了
41,警惕再次
42,动画就是西方人发明的
43,运动画的学习过程中不可能不接触前人一些夸张的手法啊
44,暷
45,不接受
46,没质感空洞
47,配色土
48,看看佛像古代人物画哪有这种动漫脸
49,明眸皓齿
50,杏眼桃腮
51,大眼睛还是西方审美影响的
52,特别是混血概念
53,秝
54,刻板印象
55,那当时全网骂清华的时候是不是有点双标
56,小眼睛的定义不懂
57,有的人眼睛不大
58,但好看
59,没有
60,不如看看身边的人
61,真的就是五官端正而已
62,謦
63,同意
64,不是写实不写实
65,是我们不这样画自己
66,但是西方人这样
67,并且他们带有歧视色彩
68,又给我们贴标签
69,那我们也不都
70,眯眯眼
71,啊
72,夸张化的处理风格化的处理就是刻意的画的这么丑吗
73,飞屋环游记的老爷爷跟这个畸形眼相比你觉得那个丑
74,太对了
75,没错
76,就因为西方对我们有刻板印象
77,我们自己都不敢用这个形象了
78,到底谁在迎合西方
79,河南拔智齿
80,就是
81,动画它会有夸张
82,然后让这个特征显得不是很舒服吧
83,确实
84,鯑
85,杏眼说的是眼型哦
86,这点我十分认同
87,看符不符合当下普遍审美罢了
88,说的太对了
89,动画本来就不是写实的
90,是动画角色设计像是西方人眼里对中国的刻板印象
91,所以才引起争议
92,那些是专业黑子而已
93,鼽
94,有够偷换概念的
95,这不是大小问题
96,这是敏感点的问题
97,原来你是动画行业的
98,我更喜欢你了
99,动画里人眼神挺生动的
100,眼睛小但是挺有神的
101,就不算眯眯眼吧
102,好难划分
103,看完被种草这部电影
104,瓵
105,本来就夸张
106,为啥不能好看点的夸张
107,非得往丑了夸张
108,所以我的心态就是我大概率是不会去看的
109,但别人去看我也赞同
110,预告片质量还是很高的
111,你这眼睛小还眼距宽都占上了好吧
112,啥叫被西方主流文化引导了
113,觉得好看都是被引导了
114,觉得丑就是接受度不高
115,神逻辑
116,我只想说之那本来也是中义词的
117,国内什么时候对眯眯眼有霸凌
118,大多人反感是因为大部分国外电影一到中国人就是眯眯眼
119,第一次看白蛇我觉得眼睛确实好突兀
120,不过我觉得剧情最重要
121,最后还是被剧情吸引
122,根本没在意眼睛了
123,雄狮少年一样
124,卑鄙的我主角里女儿们都很美
125,白蛇的角色设计确实有些空洞
126,漂亮的很普通
127,而且很多人物设计区别不大
128,魔童和大圣里面的人物就是我喜欢的怪异且比较顺眼的类型
