序号,内容
1,广东人不背锅
2,我眼睛大的很
3,你说这是个猴儿我也信
4,广东人和留守儿童这次被黑惨了
5,因为这是一场中美话语权之争
6,是场硬仗
7,中国需要掌握审美话语权
8,陈曼的作品就不会再出现了
9,真难看
10,若干年后将来西方人对我们竖起了眯眯眼的时候
11,我们的子孙也懵逼的配合着眯起了眼
12,没得洗
13,垃圾电影就该抵制
14,但当和哪吒重生眼镜的建模一样会被喷
15,抵制
16,就我所知吴京是出了名的烂好人
17,这明明是西方的偏见
18,怼这部电影干什么
19,中国人什么时候如此脆弱
20,电影很好看
21,看过再说吧
22,这视频是明夸暗骂
23,雄狮黑实锤
24,踩完退出即可
25,踩完退出
26,点右上角三个点选我不想看
27,主
28,电影就是难看
29,不是小眼睛
30,是唐氏残疾儿好不好
31,都没抓住重点
32,广东人要感谢你八辈祖宗
33,票房打脸疼不疼
34,第一映像你都忽略那还有啥好说的
35,正怼着外国人
36,从背后自己人递了把刀
37,是不是故意已经不重要了
38,不打下回还有人敢这么创新
39,去了网红滤镜然后加了
40,滤镜
41,啥比
42,蒉
43,电影不好看
44,为什么要忽略
45,现实中有更丑的人
46,人家也没说不配活着不配做中国人啊
47,思想上的懒惰索性全部打死
48,眯眯眼是客观存在的一种正常形状
49,你为什么要迎合西方的言论偷偷摸摸藏着
50,这是人是鬼
51,片方也给你钱了
52,受疫情影响啦
53,因为美元
54,刀了
55,我想感谢他八辈祖宗
56,我想拿着铁锹去他家祖坟做客
57,当面感谢
58,豆瓣评分恒定
59,没有一丝波动
60,我就觉着挺魔幻的
61,要是一两个角色正常
62,但是清一色的没的跑了
63,主角像耗子
64,眼睛小有
65,你看过这么多斜眼的嘛
66,在中国了这形象固有印象就是贼眉鼠眼
67,三连了
68,清美
69,陈曼
70,耐克模样
71,早被高级
72,中国脸
73,恶心够了
74,吴京还挺过上海堡垒
75,嶨
76,奇怪了
77,平时怎么喷吴京的
78,现在又拿出来当工具人
79,不懂就问
80,广东为啥会有北京猿人
81,垌
82,要和
83,苹果核阿尔法比比
84,导演说广东人都长这样
85,什么玩意
86,忨
87,制片方故意把眼睛改成那样的
88,突然切换
89,吓我一跳
90,三连给了
91,我开始看到人物的时候就觉得看到了外国动画人物
92,我看不是迎合西方言论偷偷摸摸藏着
93,而且迎合西方人对中国人的审美显摆
94,我支持吴京
95,但不支持这电影
96,广东人只想表示
97,我就是不去
98,就硬吹去吧
99,就不看就不看
100,要是导演是外国人拍的
101,内容再好
102,我想你也会冲烂他吧
103,剧情多老套啊
104,妈耶
105,要让我盯着这个电影主角看一个电影的世界
106,实在是酷刑
107,好丑
108,看评论
109,喜欢的理由有很多
110,不喜欢的却只有一种理由
111,作为一个可以独立思考的成年人
112,我决定看过再评价
113,捩
114,大学生都在期末考试
115,消费主力军还没有放假
116,广东人表示
117,都不看
118,水分
119,好在哪里
120,那是一样的吗
121,動畫
122,海報
123,不過希望大家快殺出高見
124,不然錘方也太弱了
125,錎
126,证明了美国撒的毒
127,终于起作用了
128,证明了美国的一种定义
129,影响了中国人
130,黑子的问题就是分不清陈曼和雄狮的区别
131,鼽
132,去同质化就是就是一部电影里只有眯眯眼
133,我都看动画了
134,导演给我来了句写实
135,当你的敌人夸你时
136,你就得反思一下自己
137,有眯眯眼可以
138,但能不能不要全是眯眯眼
139,请问这个视频我可以举报嘛
140,原话根本不是这样啊
141,断章取义
142,只看这个脸我就不想去了解剧情了
143,淪
144,恶心
145,怎么理解成广东人作为参考的
146,采风景色
147,正常人物卡套化而已
148,等着被清朗吧
149,还造谣
150,不是做出这面貌
151,他爹他马
152,他全家都涨这样
153,恒定
154,的
155,昨天
156,被发现后
157,现在已经涨到
158,了
159,别人就是为了这点恶心
160,拍了整部电影
161,你让他们改
162,是要他们的命
163,这
164,带节奏的
165,银翼杀手也是高口碑低票房
166,臫
167,说实话剧情也就是那种王道标准剧情也没什么转折不喜欢就不要看了呗
168,热腾腾的饺子装痰盂里了
169,外网已经给出了最好的信息
170,新冠
171,不关我事
172,你看看长津湖和误杀
173,眼睛全是眯眯眼
174,不管你是有心还是无意都洗不干净了
175,并不是什么坎
176,只是单纯讨厌这些牛马的恶意罢了
177,我喜欢舞狮为什么不去看现场舞狮表演
178,非要看你这个主角全员建模都觉得膈应的电影
179,我东北人我姐就嫁到广东所以去过
180,没见过广东有长成这样的
181,不过到是有点像广东的某种食材
182,好在用白狮做商演是吧
183,任何人点赞力挺都改变不了这片子烂的事实
184,这是正常人类
185,就这还有人说正常比例
186,你自己比例长这样带的上眼镜
187,切合实际
188,谁家眼还是斜着长
189,但凡眼花的正常点也不至于这样
190,事实已经证明
191,这个动画团队
192,是故意设计成这样的
193,为了迎合西方
194,他让人不舒服
195,是因为他的五官设计不符合人体五官的
196,合理性
197,西方人现在很聪明了
198,他们会把一个东西弄的很优秀
199,然后把刻意丑化我们的东西能柔和一点
200,潜移默化的影响我们
201,这个电影和前段时间的一个汉服走秀
202,都是做的很好
203,很优秀
204,但是找的言语啊
205,都是小眼睛
206,妆容也怪怪的
207,但是没有那么明显
208,但是敏锐的人就知道
209,他是刻意的
210,可以察觉到
211,但是大部分人潜移默化的就被洗脑了
212,可以学学他天书奇谭和哪咤的建模
213,这种最可怕
214,让你潜移默化的接受了
215,不是你朋友提醒你都忘记了
216,我也不支持
217,广东人
218,丢你楼母啊
219,我就不明白
220,中国人到底是不是双标
221,这个片子是外国人导演
222,还有人会说好吗
223,剧情老套
224,我就想说一句换迪士尼导演这部
225,那还有人说是国漫之光吗
226,突然发现原来喜欢双标的就是国人自己
227,这部动画片换成迪士尼
228,估计会被骂死
229,冷知识
230,吴京还发文支持过
231,上海堡垒
232,锁分不知道么
233,要不早给干下去了
234,没有什么受美国影响
235,单纯觉得这眼间距不好看
236,豆瓣被锁分了
237,鮔
238,演
239,不存在什么两极分化
240,就没人去看
241,好评点映前就刷出来了
242,最后居然还能掉到八点三
243,高口碑地票房太正常了
244,制造矛盾
245,的上座率
246,还说什么两极分化
247,还午夜场刷票
248,没人看说什么两级分化
249,斖
250,制造对立
251,就是不是问题的事物变成问题
252,有网站收纳了广东珠江地区万人脸部信息
253,做过平均脸
254,雄狮跟它比差远了
255,中国人的脸部特征叫同质化
256,西方人的眯眯眼
257,叫多元审美
258,老流氓了
259,可以理解个锤子
260,最多六分的剧本
261,高分都是水军吹出来的
262,你们接的都是通稿嘛
263,放开眼睛不看
264,这还是很不错的
265,在国内市场画眯眯眼
266,暴毙活该
267,所有人都对萨比这个词有应激反应
268,所以要做的是
269,别人说你萨比的时候你不要这样激动
270,搁这好看呢就嗯洗
271,我们广东人不长这样
272,想想花木兰
273,我啥都不说了
274,不是说你是国内的就可以
275,丢你楼母
276,主角一个眯眯眼很正常
277,全都是眯眯眼就不正常了吧
278,很多人以为自己长的很帅
279,在别人眼里你就是这样
280,很正常也很真实
281,又不是修真动漫个个都差不多
282,唐氏少年
283,你吗
284,关键不是小
285,眯眯眼也能有好看的角色
286,是长错地方了
287,雄狮少年制片人跟吴京合作过战狼
288,流浪地球
289,无论怎么说都得出来帮场
290,不能代表作品就是好的
291,蒚
292,你挺归你挺
293,太可怕了
294,原来我不配做广东人
295,广东人
296,扑你个街
297,韩国人才眯眯眼吧
298,中国人哪里眯眯眼了
299,真搞笑
300,现在的评分都是假的
301,官方让你几分就几分
302,导演本心不好
303,说那么多也是白搭
304,尿壶装的茅台
305,你喝吗
306,这是什么生物啊
307,就这
308,还不如网红脸
309,可能拍的人自己眯眯眼看不见吧
310,豆瓣锁平分了
311,丑是原罪
312,耐克
313,清美
314,雄狮
315,觐
316,叫你照照镜子
317,还不
318,说是参考广东人
319,一个非常套路的故事尬吹有新意
320,故事问题大得一逼当观众都看不出来
321,不是靠尬吹就可以的
322,都是没钱看电影的货色
323,没看过电影的再得瑟
324,没事
325,海外票房一定大卖
326,庱
327,前面都写了形象设计去网红化
328,你们还给他洗呢
329,因为我们广东人足够自信
330,所以才拒绝眯眯眼建模
331,要对别人丑化我们的固有形象自信吗
332,不要放阴间东西
333,群众的眼睛是雪亮的
334,吴京又如何
335,潎
336,赚钱嘛不寒碜
337,潎
338,加两撇长须胡子大家就明白了
339,你不是没看过吗
340,怎么啥都知道
341,是真的好看
342,但是人物建模是真的垃圾
343,要吃饭的嘛
344,我没看过
345,也看过安里
346,但是丑
347,算了
348,三角形是外国人反派
349,眯眯眼重新定义
350,雄
351,其实吴京怕不是只要是中国电影
352,哪怕再烂也不管
353,毕竟人设定死了
354,好家伙
355,跟外国人混熟了
356,忘了中国人审美了
357,英雄是你们树立起来的
358,英雄也是被你们绞死的
359,结果到最后不满意的还是你们
360,什么叫乌合之众啊
361,战术后仰
362,自虐
363,漤
364,清华少年
365,不是我们不自信
366,自卑
367,恰恰是自信才要勇于反击
368,不是我们偏见
369,是因为他们偏见我们反抗
370,现在还反过来被说偏见
371,洗
372,继续洗
373,你试试来广东说这句话
374,打不死你算输
375,做惯了外国人的狗
376,知道自己主子的审美口味好拿奖
377,躑
378,那也不能画的跟非人似的呀
379,好题材被糟蹋了
380,央视就推荐这个
381,眯眯眼
382,央视主持人怎么不是眯眯眼
383,这和宫崎骏根本一个天一个连地都不如
384,你正经点搞会死
385,谁五官斜成这狗样子
386,害怕
387,太可怕了
388,这个眼距至少是正常人
389,他怎么不懂呵呵
390,看脸好阴间啊
391,我们想看正常人他就说网红化呵呵
