序号,内容
1,矖
2,阿娟
3,别认
4,阿娟就是最棒的
5,少年强则国强
6,恭喜
7,支持
8,好耶
9,买票了
10,已二刷意犹未尽
11,好电影
12,不喜欢人物的审美
13,央视点名表扬
14,出息了
15,阿娟爱上了阿强
16,好看
17,这不是大圣归来吗
18,牛
19,胔
20,大快人心
21,大快人心
22,我就看不惯网上民粹的歪风邪气
23,动画人太难了
24,看阿猫抖腿特别喜感
25,真金不怕火炼
26,期待你们下一部作品
27,但希望不是续集
28,是新开一个故事
29,回形针跟这个可不一样
30,现实
31,划重点
32,现实题材
33,燎
34,太怪了
35,没一个正常人脸
36,臎
37,是你的审美单一
38,刷
39,这个监制的眼睛也没那么细啊
40,蠶
41,居然不是韩国电影
42,现实
43,冲吧
44,我为你们加油
45,外貌协会的请先了解人物背景与定位再喷
46,呸
47,欧美
48,觉得好看
49,太可怕了
50,你的眼睛咋这么大
51,醒狮是核心
52,核心精美就足够
53,脸只是陪衬
54,重要的是内心
55,吴京也表扬了
56,快去冲吴京
57,戎
58,各位听到没有
59,打破偏见
60,这种主流推荐多来一点
61,自来水每天摇旗呐喊很辛苦呜呜
62,阿娟
63,冲
64,啊
65,破圈冲
66,为什么要吃过
67,才能说
68,臭
69,啥破玩意都能上新闻了是吧
70,这要收多少钱
71,烂透了是吧
72,我拒绝这种眼睛设计
73,打破偏见
74,挺有喜感的
75,拒绝就别看咯
76,差你一个嘛
77,偏见让你一叶障目
78,偏偏选外国人对中国人的刻板印象为审美
79,怎么监制不是斜眼眯眯眼宽眼距
80,黑子们开始你们的表演
81,鼽
82,人民群众不喜欢
83,你算老几
84,主角很帅啊
85,跟导演长得挺像的
86,非常好看
87,加油
88,阿
89,自轻自贱就能打破别人对他的偏见吗
90,别人该怎么侮辱阿
91,也还是照样侮辱
92,精美狂喜
93,哇塞好大的眼睛
94,绝无回旋余地
95,什么眼光
96,会赞这个电影
97,绝无回旋余地
98,不看
99,又是你
100,被绑架了你就眨眨眼
101,好看
102,安利
103,超好看
104,剧组制作太
105,认真
106,了
107,把外国人对中国人的丑化中国的形象全部融入了这部电影里
108,喦
109,唐氏少年吧
110,无数
111,指
112,幸好我不是广东人
113,广东人
114,杸
115,哈哈
116,不看就不看略略略
117,看看弹幕有多假
118,刻板印象都乎脸上了
119,当我们傻吗
120,真的特别好看啊
121,我跟着安利一波
122,真的好电影
123,为什么主角一定要帅
124,非得俗套网红脸
125,怎么说呢
126,像小胖子那种做成豆豆眼的小眼睛
127,或者一条缝我是没意见的
128,为什么要吊梢眼
129,我有
130,感觉不错的
131,哈哈
132,无数
133,阴兵吗
134,唐氏少年
135,挎
136,支持
137,硬恰
138,广东人不是长这样的
139,藍
140,故事是个好故事
141,但是那个咪咪眼我就受不了
142,所以不看
143,人物脸型看上去就像是原始人一样
144,已刷一亿遍
145,可真是少年强啊
146,长成这个样子
147,笑死谁写的文案
148,国粹
149,所以票房为什么这么低
150,觳
151,现实
152,广东人惨
153,漂亮
154,我呸
155,垃圾
156,说实话这些外表设计上的不拘一格让我觉得中国动画电影人真的牛
157,我退
158,敌再内部
159,太丑了
160,水军
161,我十刷了
162,呸
163,谁爱看谁看
164,了
165,央视就是个歪屁股的二
166,台
167,恭喜清华美术院成功引领美术
168,请导演自己照照镜子看看跟里面的角色一样不一样
169,昨天才去看了
170,除了眼睛小其他一点毛病也没
171,太好看了
172,立意真的挺好的
173,传播传统文化
174,传播热血正能量
175,躌
176,倒三角
177,眯眯眼
178,宽眼距
179,唐氏综合症
180,长的和导演一样嘛
181,敢来广东试试吗
182,广东人惹你了
183,揎
184,好
185,眯眯眼成了国粹了是吧
186,狗东西
187,臭不要脸
188,真的好看
189,孩子也能用
190,敏感肌很喜欢
191,真不是水军
192,去看了觉得确实不错啊
193,央视啥时候穷成这样了
194,大家去差评
195,不要看也不要讨论
196,讨论多了反而有人去鉴丑
197,哈哈哈哈哈哈哈
198,好耶
199,绝无回旋余地
200,打动了
201,的上座
202,这电影主角配角就是一堆奇形怪状的丑逼
203,现实
204,丑的角色有很多
205,但是那么符合西方对中国人审美的可不多
206,少年丑则国丑
207,这不是清华少年吗
208,个人认为动画人物设计是可以有这种风格的
209,比如
210,恶童
211,但是真人不行
212,这什么形象啊
213,很好的题材
214,被导演毁了
215,你生孩子
216,眼长脸上
217,脸都不要啦
218,人物设计的太可爱了
219,祝导演全家人都长这样
220,流汗黄豆
221,罕见
222,不看
223,着重偏见和刻板形象
224,丁真
225,稳中向好
226,房住不吵
227,稫
228,灵活就业
229,稳中向好
230,房住不炒
231,冷知识
