文献名,文献链接,作者,来源,发表时间,数据库,被引次数,下载次数,爬取时间
越是广州的，越是世界的,https://kns.cnki.net/KCMS/detail/detail.aspx?QueryID=0&CurRec=1&recid=&FileName=NFRB20220107AA61&DbName=CCNDTEMPDAY&DbCode=CCND&yx=&pr=&URLID=&bsm=,南方日报记者  郎慧," 
      
      南方日报
      
       
       
      ","
        2022-01-07
      ","
        报纸
      ","
        
      ",暂无数据,2022-01-07 10:11:27
《雄狮少年》：另一种励志故事,https://kns.cnki.net/KCMS/detail/detail.aspx?QueryID=0&CurRec=2&recid=&FileName=DYYS20211228000&DbName=CAPJLAST&DbCode=CJFQ&yx=Y&pr=&URLID=11.1528.J.20211228.1554.002&bsm=,陈林侠," 
      
      电影艺术
      
       
       
      ","
        2021-12-29 19:35
      ","
        期刊
      ","
        
      ",86,2022-01-07 10:11:27
《误杀2》次周逆跌幅连冠  《雄狮少年》累计1.27亿,https://kns.cnki.net/KCMS/detail/detail.aspx?QueryID=0&CurRec=3&recid=&FileName=CDYB202112290130&DbName=CCNDTEMP&DbCode=CCND&yx=&pr=&URLID=&bsm=,雨水王," 
      
      中国电影报
      
       
       
      ","
        2021-12-29
      ","
        报纸
      ","
        
      ",暂无数据,2022-01-07 10:11:27
《误杀2》南方市场热映  《雄狮少年》北京票房第二,https://kns.cnki.net/KCMS/detail/detail.aspx?QueryID=0&CurRec=4&recid=&FileName=CDYB202112290131&DbName=CCNDTEMP&DbCode=CCND&yx=&pr=&URLID=&bsm=,," 
      
      中国电影报
      
       
       
      ","
        2021-12-29
      ","
        报纸
      ","
        
      ",暂无数据,2022-01-07 10:11:28
《雄狮少年》：唤醒心中那头雄狮,https://kns.cnki.net/KCMS/detail/detail.aspx?QueryID=0&CurRec=5&recid=&FileName=HLRB20211227B160&DbName=CCNDTEMP&DbCode=CCND&yx=&pr=&URLID=&bsm=,本刊特约撰稿  张冬梅," 
      
      海南日报
      
       
       
      ","
        2021-12-27
      ","
        报纸
      ","
        
      ",暂无数据,2022-01-07 10:11:28
《雄狮少年》监制张苗：赞扬声是对我们最大的肯定,https://kns.cnki.net/KCMS/detail/detail.aspx?QueryID=0&CurRec=6&recid=&FileName=CDYB202112220120&DbName=CCNDTEMP&DbCode=CCND&yx=&pr=&URLID=&bsm=,本报记者  杜思梦," 
      
      中国电影报
      
       
       
      ","
        2021-12-22
      ","
        报纸
      ","
        
      ",82,2022-01-07 10:11:28
《雄狮少年》，国漫崛起新赛道？,https://kns.cnki.net/KCMS/detail/detail.aspx?QueryID=0&CurRec=7&recid=&FileName=BJXD202112210040&DbName=CCNDTEMP&DbCode=CCND&yx=&pr=&URLID=&bsm=,北京商报记者  郑蕊  周阳洋," 
      
      北京商报
      
       
       
      ","
        2021-12-21
      ","
        报纸
      ","
        
      ",205,2022-01-07 10:11:28
《雄狮少年》：烟火气与少年气，都因真挚而动人,https://kns.cnki.net/KCMS/detail/detail.aspx?QueryID=0&CurRec=8&recid=&FileName=CDYB202112150071&DbName=CCNDTEMP&DbCode=CCND&yx=&pr=&URLID=&bsm=,程波," 
      
      中国电影报
      
       
       
      ","
        2021-12-15
      ","
        报纸
      ","
        
      ",211,2022-01-07 10:11:28
国产现实题材动画电影《雄狮少年》：依托传统文化，展现平凡人的非凡成长,https://kns.cnki.net/KCMS/detail/detail.aspx?QueryID=0&CurRec=9&recid=&FileName=XWCB202112150080&DbName=CCNDTEMP&DbCode=CCND&yx=&pr=&URLID=&bsm=,本报记者  李雪昆," 
      
      中国新闻出版广电报
      
       
       
      ","
        2021-12-15
      ","
        报纸
      ","
        
      ",326,2022-01-07 10:11:28
荒野雄狮——拿破仑·波拿巴的少年时代,https://kns.cnki.net/KCMS/detail/detail.aspx?QueryID=0&CurRec=10&recid=&FileName=YDZC200411011&DbName=CJFDN7904&DbCode=CJFQ&yx=&pr=CFJD2004;&URLID=&bsm=S;,杜查理," 
      
      阅读与作文(初中版)
      
       
       
      ","
        2004-11-15
      ","
        期刊
      ","
        
      ",59,2022-01-07 10:11:29
