时间,用户,星级,短评,支持数
2021-12-05 16:03:02,豆瓣路人己,五星,是目前无限接近我心里当下该有的国漫样子——没有IP、没有过多对日美漫画的模仿、没有太多套路。有瑕疵，但瑕不掩瑜。“咸鱼翻身”的主题虽然已经说了很多次了，可是电影结局真的不是绝对的“翻身”。配乐非常棒！,5658
2021-12-09 00:21:10,朝阳区妻夫木聪,四星,——真傻，这年头怎么还有傻瓜会读李白？——真好，这年头居然还有人愿意相信诗。,7734
2021-12-08 20:59:35,Cosine 万一,一星,这队主创真是又懒又硬啊，人物没有动机，剧情不给原因，配乐不合时宜，煽情毫无意义，从未见过如此厚颜无耻之事。,1960
2021-12-11 17:55:05,桃桃林林,四星,虽然套路，但，真的好燃啊！！！后半段各种热泪瞬间。结尾收得很好，不用真的给一个奇迹瞬间，足够感动就够了。舞狮如人生，都是上山下山。未必都会赢，但一定不能认输。另外，其实舞狮并不能改变什么，也不会真的让你走向成功。但生活中总是要有点奔头，要有一口气，这才是活下去的理由，也是会觉得热血的原因。,4522
2021-12-12 08:25:17,王开心,三星,人物脸谱化严重，有毒男子气概成为了剧情的助推剂，病猫、瘦猴、咸鱼强等称呼显示出了社会病态的社会达尔文主义倾向和鄙视链，其中隐含了“我只有不是我原生的自我才不会受尽欺辱”，于是暴力被浪漫化，成为一个符号推进剧情的下一步发展，这未免是一种表面的推进而非真情实意。令人悲哀的是，父权社会的框架仍然制约着整部片子的逻辑，旧有的一套权力秩序仍旧延续在文化生产中，女性不该舞狮、被英雄花砸中的男人、人就该放弃梦想讨生活、师父师娘的人物关系刻板印象等话语活生生的表现了当下21世纪中国根深蒂固的权力体系和社会现实。这是一种性别和阶级的困境和悲哀。非要有一个女孩成为一种类型化的初恋感配角，这是十分不舒服的男权思维。,3862
2021-12-02 12:04:38,小烨,五星,终于看到一部不是以孙悟空、哪吒为主角的优秀国漫了，居然还是现实主义题材的，太惊喜了。画风写实、技术扎实，配乐也好喜欢，废柴少年成长记，结合舞狮这个民俗主题，情怀感人，细节动人。这是属于小镇青年的奇迹，向城市建设中每一位被“牺牲”的无名氏行一次注目礼，给面目模糊的他们影一张清晰的沙龙照。,4861
2021-12-08 21:05:58,谢谢你们的鱼,四星,前半段配音烂、节奏烂、笑料烂，后半段老子一顿暴哭，燃死我得了，真的太顶了，简直是一杯呛鼻的烈酒。完完全全用真人片逻辑拍摄的动画电影，真没有想到如此具有现实质感和人文关怀，对于舞狮文化的展现堪称完美。话说男主角剔头之后也太像易烊千玺了吧！,3871
2021-12-11 08:55:18,渔人秦诗,四星,优缺点都突出，前期蓄势期极差。生硬转折尴尬，文戏不够喊口号歌曲凑，师母陈壮成等一众闪光点多面性塑造的可能，都未深入挖掘，全员工具人。同样热血滑稽化的演出用了五次。吊诡的是，这全然没阻挡后期感情浑然天成一气呵成喷薄而出。前半有多嫌恶，后半就有多欣喜。阿娟父母归来，他梦想“下山”，黯然离体验繁华都市的灰暗底色，独自忍受人间冷暖生活重担，狮头埋于杂物。他随清晨人群的醒来，敲醒心灵翩然起舞豁然开朗；比赛惊艳出场，气势十足斗狮，最后一跃不可逾越的擎天高山——那莫欺少年穷的奋勇与激越！光影场景真实感极强，狮头绒毛很细腻，那沾水时一缕缕的质感——雨水的处理国漫绝无仅有。但人物建模廉价，可谓冰火两重天。制作组亮出乐夏粉籍！五条人打底的广东地方味，中程有椅子城市哀愁之歌，终九连将感情送至巅峰——绝妙！,2950
2021-12-08 20:57:36,嘟嘟熊之父,三星,说句公道话，片方赚的每一分钱都应该拿出一半给周星驰，拿出两成给徐克李连杰，再拿出一成给马东。正片最后一个镜头彩蛋了，致敬阿彼察邦。,2164
2021-12-11 00:07:02,HarperDie,四星,每位渴望成为艺术家的内地新导演，都应该好好学学本片是如何设计场面、调遣运镜、丰富调度的。舞狮这样的传统文化成为了合理的叙事背景，不止是知识普及，更通过阿娟这样的弱小个体提炼出精神层面的坚定。而在美轮美奂的画面下，才是本片最出色的部分——城市的快速发展和传统文化的衰落是并行的。发展的代价太大，落在了人、文化、环境等方方面面。影片末尾的舞狮大赛，鲜艳的各色狮头背后是苍凉的阴霾城市，舞狮的凝聚力激荡人心，却也抵挡不住遍地的寒意。留守儿童的命运往复，很可能就是社会未来模样的缩影。影片彩蛋绝妙地点出了这层内核。当然，从叙事表达上，影片有着强烈的周星驰灵魂覆盖，对话的遣词用句可调整的地方也很多，是比较明显的遗憾。最感叹的是监制张苗多年来判断项目的眼光，市场进步不可或缺的一份子。,2195
2021-12-10 22:00:54,消亡之人,五星,狮头像个做梦装置，戴上就是雄狮少年。摘下，就回到生活本身。前半段的确非常周星驰。咸鱼二字或许已然成为他的作者性。无厘头的笑料不仅能调控煽情节奏，也是无数次现实因素对满腔热血的侵蚀。但一味模仿未免无趣。所幸电影没有止步于他。少年搭上大巴远行，工地，外卖，下下铺，开豪车的梦中女孩。楼分高低，人有阶级，这才是他人生的登山路。全片正是一种周星驰叙事与一种现实叙事的反复激荡，正如阿娟一次次得到又失去、戴上又摘下的狮头，正如每个小人物都曾在脑海中发生过的挣扎。你要梦想，还是生计？所以结局才那么好，在割裂中找到平衡。狮头挂在那里，生活依旧，梦却也在延续。很高兴有这样一部无IP原创国产动画电影，而它在呼喊梦想这个古老命题时又如此兼具现实性。如果一定要喊国产动画崛起，或许现在才是好时候。,3092
2021-12-08 21:32:39,陀螺凡达可,四星,感觉比近十年来很多高分高票房的国产动画都要好出一大截，前一小时有点不稳定，常规的插科打诨（有些笑料很烂俗很low）以及情绪铺垫处理得时好时坏，中段转折后，无论是掷地有声的故事本身还是节奏、情绪都变得顺畅许多。以往国产动画最常见的动画技术强但是导演能力差的问题也得到了解决，分镜和镜头运动都无可挑剔，最后高潮段落的掌控力也特别稳，没有常见的煽过头。PS：有一两段配乐过于耳熟不知是否存在参考还是纯属巧合,1596
2021-12-01 16:44:32,影志,五星,2021年度真正黑马惊喜之作，画风与故事的写实走向，代表国漫内容视角的全新飞跃，兼具中国独有的人文与民俗情怀，又不乏爆笑、热血、感动之观感。开篇水墨动画讲述舞狮历史与文化，已预感此片了不得；中间唢呐吹响、鞭炮轰鸣，交织励志少年的成长谱曲；最后咸鱼翻身、雄狮舞起，彻底奏响扶摇直上九万里的生命乐章。每次狮头直立、鼓点响起，胸口便会被点燃一团火，唤醒我们心里长存的一声吼。最后半小时太会抓观众痛点，燃到飞起，个人今年华语片Top3。“一山总有一山高，世界上总有达不到的奇迹”，没人踩的擎天柱，提醒舞狮人保持敬畏，而影片结局告诉我们，《雄狮少年》已无限接近这个奇迹。国产动漫原创IP难出佳作，5星是鼓励，更是值得。,3058
2021-12-10 23:47:55,Bird,三星,国产动画是不是不需要剧本,813
2021-12-08 15:18:11,科林,四星,光线折射的通透、狮头毛发的飘逸，技术性比戏剧性更突出的粤味国漫。致敬星爷，也撞车《燃野少年的天空》，故事就那样儿，讲的还是追逐梦想与生活妥协的矛盾冲突。可喜的是题材对准了处于当代中国人口底层的进城务工人员及留守儿童，这才是最具价值的人文关怀点。接地气的眯眯眼造型、带劲的国产民谣摇滚，及最后又燃又美的一跃，都很加分。,1154
2021-12-12 20:17:01,哪吒男,三星,梅花桩上有虚设的高台，房间里有膨胀的大象，我爸没有医保，我友内卷到爆，少年们，我们该跳起来吗？,399
2021-12-01 19:43:12,翻滚吧！蛋堡,四星,如果真的成为爆款，建议导演和九连分钱！,738
