author,fans_count,content,created_time,updated_time,comment_count,voteup_count,url
卡库宝气,1088,因为要维持住华录百纳发行方的股价啊，好不容易用真金白银造势把股票拉上去了，这还没等散户来接盘，就被舆论给砸下去那还得了。那可就不是2.8亿的制作费用，而是28亿打底的主力被埋的损失了。,2021-12-26 17:49:20,2021-12-26 17:49:20,63,1818,https://www.zhihu.com/api/v4/answers/2286749257
一个名字,27,为什么会暴死 还是这种近乎笑死人的排片和上座率暴死当场 这几乎是中国影史上最差的一部 目前找不到一部上座0.2%排片25%的片子出来连毕导的圈圈圈和上海堡垒都比它强 我对这玩意的剧情不感兴趣 也不会去看就那海报人物造型 恶心 水军吹上天你要批评我为什么不去看前 请出示你的票根 最少二张才是自来水吧 别是看凌晨场的阴兵。至于为什么投钱继续吹 因为上映前股价大涨45% 现在依旧涨幅超过30% 赚钱嘛 骗不到观众就割韭菜嘛 都一样不寒碜,2021-12-24 11:54:25,2021-12-24 11:54:25,124,3101,https://www.zhihu.com/api/v4/answers/2284203226
zearo,220,今天看到了网络票务平台，这个电影三千块一张的票价，大受震撼。这大概是创了中国乃至世界电影票价格的新高?而座无虚席的深夜场电影，全世界罕见的上座率?为了交kpi啥都不顾了呗?那……啥时候把税交一下噻?我来歪个楼吧。毕竟，网上交流不歪楼那缺了点味道。这几天恰好是苏联解体纪念日，苏联解体前有过公投70%人支持苏联存在但苏联上层“精英”为了“保护”自己攫取的“利益”，必须让苏联消失，因此团结起来，扼杀了苏联。别忘了苏联，当初用一些狗哨式的行为，唤醒了具有组织力，行动力，一致性的群体，而且其拥有极大的话语权和权势，进行一次次表面是认知驯服和意识进攻，实际上是一次次演练，一次次试探，一次次纠集同伙的投名状式对暗号的行动。由此，他们知道了公众的上限和下限，知道了自己怎么搞能不被群众揪出来，最重要的，知道了谁是“战友”。然后，就只剩下扩大战果了。合成指挥，一次进攻包括:1.前期火力准备、侦查与火力侦查，然后部队集结部署。2.开辟通路。3.向敌阵地（攻击目标）冲击。4.获得突破口并扩大和巩固。5.向敌纵深进攻，打乱敌指挥、机动、后勤，达成分割包围。6.聚歼被分割包围之敌。如同角色都是差不多的面容，震O小眼睛和苏轼老大哥略像哦，都这么像了，那我就不赘述审美权和舆论权的问题了，毕竟 @雕塑大哥 有完美的论述。,2021-12-28 00:02:03,2021-12-29 17:13:43,209,3197,https://www.zhihu.com/api/v4/answers/2288417764
相瓜人士,1628,我也是奇怪，票房都差成那样了，是怎么请到那么多大牌明星打广告宣传的？看了下出品方不就清楚了吗抛开主角形象争议（因为里面太多带节奏营销号和电影自己的水军浑水摸鱼了，媒体有出来断章取义上纲上线的，也有出来站电影吹得天花乱坠的）就说这剧情设定，是不是太老套而且脱离现实？（又一次反向证明了好编剧的重要性）主人公阿娟是留守儿童，父母在广州工地打工几年没回家。他性格懦弱、自卑，经常被村里其他人瞧不起，被人欺负。某天在女主的鼓励下，他决定学习舞狮，参加广州的舞狮大赛去见父母导演既然说去广东实地采风了，那细纠一下看看参考当地网友吐槽背景是2005年，阿娟父母在广州打工，阿娟在佛山顺德陈村留守。这两地之间，也就隔了几十公里吧。就这还成了留守儿童几年不回家？主角的师傅靠卖咸鱼为生，搞得很穷的样子。但是卖咸鱼的咋可能穷啊，那可都是海产品电影里醒狮搞速成，现实里得十几年的功底。在学舞狮的过程里（除了抢他红包的那几个脸谱化配角），几乎没有遇到任何来自“人”所构成的复杂的阻力就算主角是醒狮天才，你都天才了你不留在醒狮特色如此出名的广东搞专业（我小时候看黄飞鸿都知道舞狮在广东有多吃香），竟然跑去上海打工？连基本的故事都说不好，就开始想往所谓更高大的立意去靠……就感觉工具人主角被剧情强行推着走和安排特效和设计倒是很漂亮，但是这和s级烂剧吹服道化有什么区别呢？,2021-12-27 17:35:46,2021-12-27 17:40:47,127,924,https://www.zhihu.com/api/v4/answers/2288001499
王伟,328,资本需要从股票市场上逃离，需要股价继续维持一段时间股价涨了80%左右，如果套现，这赚的已经把投资搞回来了——————更新下，感觉庄家在动了,2021-12-25 21:21:54,2021-12-30 11:34:05,71,1106,https://www.zhihu.com/api/v4/answers/2285932629
bhbaggio,3706,不用说太多，现实比一切都教育人，拍长津湖、战狼2、李焕英、魔童降世、流浪地球这些爱国的，宣扬中国文化和中国人看得懂的亲情的，就能创造票房纪录，就能赚大钱。相反，你拍恶心中国人的，让中国人看着烦的，不管你找谁来洗，怎么把黑的说成白的，老百姓也不吃你这套，你就是赚不到钱，甚至要赔大钱。这个对比如此醒目，我不相信资本会选错，哪怕是某些膝盖生根的无良文人再执着，资本也会教他们爱国的，除非他们不赚这个钱，我可不认为恨国的人能有这份骨气。中国人民终于有点钱了，可以在文化产品上充分表达自己的意愿了，真好。,2021-12-28 00:05:17,2021-12-28 00:05:17,175,4826,https://www.zhihu.com/api/v4/answers/2288420460
Zz Ren,1801,,2021-12-29 23:09:13,2021-12-30 00:13:28,30,724,https://www.zhihu.com/api/v4/answers/2291156193
精分戏精猫,2485,我也不说什么审美问题了，就剧情而言，这个故事不成立啊。真的，舞狮文化在两广地区十分流行，从未断过，更不会说出现舞狮被人笑的事情。你知道吗，在广东，每个村子都有自己的祠堂，自己的舞狮队什么是舞狮，那是一个村子的脸面！村里再穷，狮头都崭新崭新的每逢大年大节，在自己村里舞，还要到其他附近村子舞，按现在的说法就是Battle。（偶尔有些村子之间不对付的，还会有暴力冲突）能成为村里的舞狮队，那意味着，你、你家在村子的荣耀和地位。不是是个人都能去舞狮的，人家也要考核面试做背调的。身高体重有要求，样子也是要方正大气的，蛇头鼠眼的一律都不行。更重要的是，你家在村子名声怎样，有没有出过作奸犯科的总之一句话，能舞狮的都是村里一顶一的好小伙。更可笑的是，舞狮不赚钱？开什么玩笑。舞狮队是村里养着的，虽然不发钱，但逢年过节会发礼品而且村里有活动，舞狮队每个人都会有大红包拿村里人结婚、开业等喜事，请狮队，也是要给红包请吃饭的。这边还会有很多舞狮比赛，都有奖金的如果拿奖了，出名了，还会有更多大老板找来请狮我希望一些导演啊，审美不行就算了，至少不要有幻想症。即使你幻想吧，就不要说基于现实拍的，误导大众啊。因为我设置了消息不提醒，没想到这个回答会有这么多争论，第一次被这么多人怼，心跳加速呢。首先，第一点，我，的的确确是广东人，广东广州的。所以我这个答案不是虚假的，也不是夸张的，就是我日常看到的事情。（至于那些说我不是广东的，也不知道你皮下是人是鬼呢）其次，我看了一些评论，确实承认——我大意了。我所见到的，确实不能代表整个广东。不过至少广州、佛山、清远的情况，我是可以确定的，基本跟我写的不差。我看到一些粤北粤西地区的朋友评论，说舞狮在他们那里比较没落，我感到有点伤心。没有舞狮的村子，该是多冷清啊。（但我也问过其他非广州地区的广东同事，他们也是村里有舞狮队的，也会斗狮）最后是关于舞狮队选人的事情我之所以写得比较详细这部分，是因为我表弟就是村里的舞狮队的，高中的时候进去的，这些是他跟我说的（虽然也算是二手料，不排除我表弟想吹嘘一下自己，但我觉得可信度也是蛮高的。）至于舞狮赚不赚钱？任何行业做到顶的，肯定都赚钱。你打比赛赢头彩了，肯定是赚钱的。就算能力一般的，靠着接表演，也不错。能力差的，就拜拜吧。当然，舞狮是一个吃年轻饭的行当，因为上年纪了确实很难跳起来。一般而言，就村子里的舞狮队，会有3种人，有能力不想往外跑的，留下来当师傅；特别能折腾的，会想办法参入一些知名的舞狮队，或者自己组一个商业舞狮队；其他的学了一身功夫，但志不在此的，大多都是读完书就退队，偶尔有空也会无偿给村里舞狮。,2021-12-27 14:36:04,2021-12-30 19:29:07,770,7933,https://www.zhihu.com/api/v4/answers/2287708457
陈健坤,86120,出品公司因为这部电影的上映、股价涨了50%，市值涨了20个亿。当然不会轻易放弃了。用1.5亿宣发费+阴兵票能换来8000万票房，片方分得2700万。乍一看净亏损12300万，但这样让股价维持高位，方便套现。总比让股价跌回去套现的损失小国际巨星阿拉贡·伊莱萨站台雄狮少年知友：中国第一部灵异恐怖主题动漫巨作《凶尸少年》，讲述的是广东民间灵异传说“吊睛眯眼鬼”的故事。电影充分考虑了阴间观众的审美取向，在上映后，获得了鬼佬的高度认可。,2021-12-28 17:56:37,2022-01-06 03:36:52,17,409,https://www.zhihu.com/api/v4/answers/2289436931
头像狗头保命,20304,这就是文化买办的嘴脸啊。一边为法国人的夸奖欣喜若狂笑开花，自鸣得意于可以拿国外的奖得到国外的承认。一边大肆叫嚣中国观众不懂审美，刻板印象，把屎吹成巧克力还努力按着大家的头想强迫大家吃。典型内残外忍，像不像当年华北都没了还指望国联调解的蒋某人？,2021-12-27 19:27:21,2021-12-27 19:27:21,99,4114,https://www.zhihu.com/api/v4/answers/2288137394
