author,fans_count,content,created_time,updated_time,comment_count,voteup_count,url
知乎用户,5,他们明明知道正常的眼睛是什么样的另：,2021/12/22 21:42,2021/12/27 14:33,63,1888,https://www.zhihu.com/api/v4/answers/2282094083
我变成了一条狗,452081,我就问一句我作为一个消费者，我能不能说，这个电影那些主角很丑？？你不要跟我谈他们多用心嘛。你都这么用心了，你把人搞这么丑，你说你是不是有点大饼？举个例子，就好比有人研发了一辆脚踩牛马伦，拳打帕加尼的顶级跑车，但是，但是他妈的长这样你卖个大几百万你说人家买了，会不会显得脑壳遭电打了？另外呢，一部好的电影，它一定是不需要水军的，没毛病吧？我看了一圈，洗地的那帮人，我就简单的问一句。你觉得好看，你为什么要强迫别人都觉得好看？你觉得好看，你就多看几遍嘛，对不对网友们又不是你爹，你为什么这么着急的给大家安利呢？你是一天24小时没事做，写一篇回答和网友互喷嘛？你还说你没收钱？？？我说真的，比起这种收钱办事的人，我更加看不起那种，收钱帮人点赞的大V它怕自己挨骂，又想赚这个钱，然后它就给洗地的点赞，给正常发声的网友点反对。一边不挨骂，一边把钱赚了虽然我常说，生意嘛，赚钱嘛，不寒碜。但是，这烂钱恰得，它着实寒碜。Ok，基本普遍洗地的都是在玩文字游戏。什么中国人太敏感了，这叫先发制人，先甩锅聪明点的就上升到文化不自信，浓浓的公知味儿。还有什么长成这样就辱华了。你可拉倒吧，我们一直的观点就是，刻意制造这种眯眯眼才是辱华。而不是你爹妈一开始给你生成眯眯眼辱华了。所以，我就说这帮铁憨憨还挺会玩文字游戏的。雄狮少年扑街，我并不认为这是对于国产电影的损失它反而代表了，咱们对于这种侮辱，0容忍，这是红线你不要跟我谈什么审美多样化，我就算雄狮少年真多样化，不带任何政治意义在里面。可是，我觉得主角丑，影响我观感，有没有问题？？？就这么简单嘛。坏人要有坏人的样子，好人要有好人的样子你把个代表正能量的主角，做成了汉奸的样子，怎么？玩反差萌咩？？。哦，对了，以前我家店铺开业，有请舞师队。人家可都是练家子，台上三分钟，台下十年功你这叫几个眯眯眼，几天几十天，就玩的这么6是你爹跟你说，眯眯眼有buff加成吗？？要不，洗这电影的人，你们集体整成眯眯眼呗？？我不歧视眯眯眼，我觉得长相爹妈给的但是，我坚决认为，丑就是丑，你跟我说再多，它还是丑如果现实中真有人长那样，我只能劝你要自信。你放心，你天生长那样，觉不算辱华。但是，你要是长那样，你觉得你是高级脸，回头还要强迫大家觉得你好看，那不好意思。我的键盘，敲起来可是相当快的。但凡，当时别作，有点骨气。雄狮少年，它真扑不了中国人对于中国动漫的容忍程度，高的呀p哪怕质量一般，我们都挺大方的支持一下，无他希望国漫越来越好，希望我们的孩子能够看到顶尖的动漫。但是，你他妈的，拿着我们的包容心，放地上踩，你不扑街，天理难容。对吧，叼毛我是狗子希望你幸福,2021/12/31 11:51,2021/12/31 11:56,231,2532,https://www.zhihu.com/api/v4/answers/2292950106
夏曦,20843,想到一个老笑话：当年美国人为了渗透苏联特训了一批特工，五年时间里吃大列巴面包和酸菜，学习苏联人举止，每天一瓶伏特加，在阿拉斯加光膀子练摔跤，每天必须说俄语，梦话要是说英语也罚钱。苦练之后特工被送上了飞往莫斯科的飞机，其中一个哥们下了飞机后跃跃欲试，想看看自己苦练的结果。他先是找了一个路人聊天问路，那人说：“你不是苏联人吧，你俄语说的太棒了，你在哪学的？”特工很纳闷，为啥说我俄语是学的，于是进了一家餐馆，娴熟的点菜，正经的吃法，服务员好奇地问：“你不是苏联人吧，没想到你点招牌菜，吃饭的样子简直就是本地人。住多久了？”特工更奇怪了，吃东西也能知道不是本地人，郁闷之下进了一个酒馆，直接干了一瓶伏特加，结果酒馆老板好奇地问：“你不是苏联人吧，想不到这么喜欢我们这种劣质伏特加。”这时候特工已经快疯了，脱了上衣开始耍酒疯、打架，完全用的俄式抱摔，结果被抓进了警察局。警方：“我们克格勃已经关注你很久了，你到底是哪个国家派过来的！”特工：“我怎么就不是苏联人了！是俄语不标准么？”警方：“不是！”特工：“生活习惯不对吗？”警方：“不是！”特工：“喝酒耍疯外行吗？”警方：“不是！”特工：“那您们怎么知道我不是苏联人，快说、说！”警方：“我们苏联没有黑人！”,2021/12/22 16:46,2021/12/22 18:13,107,15036,https://www.zhihu.com/api/v4/answers/2281741552
夜雨寄北,113,稀里糊涂快4k赞了！不知道大家都对这部影片的监制有什么认识，贴一下度娘百科的资料：张苗，制片人、发行人、监制2001-2015年就职于美国哥伦比亚国际影片公司/索尼国际影片公司，曾任其中国区高级总监。2016-2017年，担任电影《战狼2》制片人及总发行人。2018年，担任电影《我不是药神》联合制片人及总发行人；同年担任电影《无名之辈》制片人及总发行人。2017-2019年，担任电影《流浪地球》制片人及总发行人。2020年，担任电影《我和我的家乡》总制片人、总发行人。同年，担任电影《沐浴之王》制片人、总发行人。2020-2021年，担任电影《你好，李焕英》出品人及总制片人。2020年12月，张苗先生离开北京文化并创立北京精彩。结合网上有未证实的消息说这部影片一开始的角色不是现在的设计现在这样是后来改的......我突然想起我大概上初中时放假回家，看到村里一个特有钱的人家盖房子别人家盖房出了给工钱之外，最多就是给施工队管个饭，盖好了请工头喝个酒什么的他家盖房直接买新搅拌机用完了直接送给施工队了而且不但管一日三餐，晚上还是酒菜，还给买烟抽，一人一天一包紫云（03年）周围邻居去给他家帮忙什么的，走的时候还给送礼我搞不明白啊，就去问村里的老人，他们说他家日子一直过的不错就是太抠，斤斤计较的，最近两年好像赚了大钱我很好奇，这得赚多少钱才会变得这么大方？老人说嗨，人不都这样嘛，钱赚够了，就开始要名儿了！至今深以为然！----------------------原答案----------------------------国漫《雄狮少年》点映口碑炸裂，预测票房25亿+，或成下一部《哪吒》如果按“专家”的预测25亿票房，假设一张票50元，25亿需要5千万人观看！这5千万人当中有多少人是会随时关注影讯，会因为影片制作精良程度而走进电影院的呢？1/10不知道有没有！更多人是从社交媒体、朋友圈获知了相关资讯，在众口铄金的情况下而走进电影院的。也就是如果你真想卖25亿，除了需要用影片质量把爱观影的观众吸引进影院之外，更需要用好的印象把路人观众也拉进来才行这个好的好印象包含两点：一是已经看过电影的人的评价，取决于你影片质量二是影片给人的第一印象，取决于路人的眼缘我们不讨论到底是“多元化”还是“真侮辱”就说在中美政治如此敏感的当下；就说在不久前不止一次的发生过类似事件的前提下；你仍然能踩着观众的敏感神经推出这几个让人一眼就能看出有些奇怪的角色，结果会怎么样自己心里真没点数？本来路人观众听说口碑还不错，结果看到有人说这部片子涉嫌“自取其辱”，再找来海报一看：“哎，还真是啊，眼睛怎么这么奇怪?”本来这大部分观众对影片都是可看可不看的，现在好了，都不用去看了！本来事情到这一步，也不算什么，观众有争议是好事，这个时候应该借着这个争议的热度，向大众道歉，影片本身是奔着“多元化”的目的制作的，但是没有考虑到当下的敏感性，同时对于“多元化”的理解不到位，给大众造成了困扰。然后能改就改，不能改了就卖惨，这部影片除了角色争议之外，其他方面水准很高，希望观众不要因为制作人个人的一些失误，导致这么好的片子被误解，总之千错万错都是你制作人一个人的错，片子是真不赖！总之一句话，尽量挽回路人的眼缘！挣钱嘛！不寒掺！而你在做什么呢？创作者画的时候，有在广东等地进行多次采风，最简单的方式，大家拿出镜子或者手机，将镜头的滤镜关掉，好好看一看，想想身边的人的样貌。我们没有一丝贬低谁的意思，但可以想想身边的朋友，想想如果是阿猫、阿狗的话，应该长成什么样子。”影片监制在杠观众！几个角色都是高挑眼角+宽眼距的设计是不是客观存在的？你杠什么杠？几个主要角色的眼部设计是不是跟西方歧视亚洲人的方式特别像？你杠什么杠？在敏感的大环境下，设计成敏感的方式，观众敏锐的意识到可能夹带私货，是不是客观现实？你杠什么杠？你杠什么杠？你杠什么杠？本来大部分观众看不看都可，后来片子涉嫌“自取其辱”，那我们看看影片制作人怎么说吧！监制：最简单的方式，大家拿出镜子或者手机，将镜头的滤镜关掉，好好看一看What the F**K！我说你这个角色画的好丑啊！你让我去照照镜子？？？港真，监制你是从小到大没挨过打吗？想制造机会体验一把是吗？想想身边的人的样貌，我们没有一丝贬低谁的意思，但可以想想身边的朋友我说你这个角色画的好丑啊！你说，我不是瞧不起谁！（战术后仰）真的你怎么不去看看你身边的人都长什么样！你想想你朋友们的脸....真的，见过拽的，但没见过这么拽的！来来来，对角色设计有意见的有一个算一个监制就这么理直气壮地对着媒体让我们都去照照镜子，再看看朋友们......我...我有一些脏话不知道当讲不当讲！！！写到这里我哭笑不得，要不是事先知道你是影视行业专业人士还以为监制你在骂人！监制你是觉得观众都瞎吗？还是说监制你的朋友都是唐氏儿童？观众难道不知道人的长相本就是多元化的？观众难道不懂审美也是多元化的？观众是厌恶你在这个本就敏感的环境下搞这么敏感的设计，很难让人不怀疑你别有用心！观众客观地指责你，你还杠观众！你还“广东等地进行多次采风”采风采出这副样子来，你也不怕广东人吃了你！这么多年了，影视行业的从业者们不断的叫，怪监管、怪题材、怪经济、怪类型、怪时代、怪观众现在可能实在找不出什么可以怪的了只好把观众分类，分成不懂多元化的观众和不懂审美的观众！是不是还可以分成，不照镜子的观众和不看朋友脸的观众呢？你们可拉到吧！你们忽视观众的意见，自说自话、夹枪带棒、还妄想教观众做人？那就别怪观众不选择你！,2021/12/22 12:33,2021/12/27 14:53,83,4827,https://www.zhihu.com/api/v4/answers/2281349048
刺影唱征服,27,简而言之，如果您及您的家人长的就像这片里一样，那么您一定非常喜欢这部片,2021/12/22 16:54,2021/12/22 16:54,18,2342,https://www.zhihu.com/api/v4/answers/2281754171
注册装逼师,3259,谢邀，可不敢评价，会影响我盐值的，,2021/12/19 12:36,2021/12/19 12:41,38,4359,https://www.zhihu.com/api/v4/answers/2277296482
故城旧梦,875,补一个如何挽救口碑的办法吧,2021/12/23 9:05,2021/12/27 13:59,61,3711,https://www.zhihu.com/api/v4/answers/2282457279
只是个收藏号而已,20,有人说是我断章取义、无端抹黑？简而言之，如果您及您的家人长的就像这片里一样，那么您一定非常喜欢这部片就离谱导演你过来告诉我，广东人都长这个模样？,2021/12/19 0:34,2021/12/30 5:47,18,1491,https://www.zhihu.com/api/v4/answers/2276908715
匿名用户,0,这电影还没上映呢连问题都准备好了，水军也太急了吧。常规操作吗还是心里没数？,2021/12/14 19:08,2021/12/14 19:13,36,1422,https://www.zhihu.com/api/v4/answers/2270848693
xz毁灭者,9,冠军？？？限定词冠军？平均一场不到4个人就可以冠军？,2021/12/14 23:42,2021/12/14 23:47,8,888,https://www.zhihu.com/api/v4/answers/2271173377
