author,fans_count,content,created_time,updated_time,comment_count,voteup_count,url
jing394,37,转自一位观影后的网友：没什么别的，我和女票那天去电影院看，我俩都快气炸了，你要说不讨论眼睛，那就不讨论，那么我们讨论下剧情逻辑和传统文化，毕竟是参考现实的:1、导演说这是宣传传统文化，还说去了广州采风，那么红狮子用来庆祝，黑狮子才用来比赛，这些用错就算了，白狮子特么是办丧事的，怎么能出现在赛场上，这点都弄不清楚，也好意思说是宣传文化。2、父母离主角总共就几十公里，4年不回家就离谱了，这哪里是什么留守儿童，这是父母觉得孩子太丑，想抛弃了吧。。。我家离公司36KM，我每天都开车回家，即使是在05年条件有限，一周回家一次不过分吧，怎么就能4年都不回去看？3、一个才练过几个月的新手，基本功都不扎实，主角面黄肌瘦，跟个猴子一样，怕是连狮头都扛不起，居然能打败人家练了十多年的老狮子，台上一分钟，台下十年功是假的嘛，宣传这种努力无用的思想，导演是什么意思？4、抹黑其他舞狮人，其他舞狮人的都宣扬成恶势力，我是真不知道导演是怎么想的，这特么在宣传广州舞狮队是hei she hui嘛？5、父亲工伤，工地是要赔巨款的，男主怎么就沦落到从广东跑到上海打工的地步，是不是在抹黑广东打工没有保障，she hui黑暗？6、广东经济好歹也全国前三，为何不就近找工作也能拿到很高报酬，父亲病重瘫痪在家，不留在家照顾，何苦跑半个中国去寻找工作，导演意思是说，广东人很穷，导演看不起广东人？7、广东舞狮很赚钱，即便是小店铺邀请一次也有个千把块钱，都拿了冠军，肯定很多人请，这不来钱更快，何必去搬砖？导演怕是打心底起就看不起这些传统文化吧，认为传统文化赚不了钱，传承这些传统文化的都是穷人？8、比赛用臭脚作弊？？？？？？离天大谱，导演就是这么宣传我们中国人诚信观念的？9、踩狮头是最不能接受的，你以为黄飞鸿他爹拼死保护狮头是为了什么？这是砸人饭碗，挖人祖坟的操作。。10、表面光鲜亮丽，背地里就像宣传了中国社会很阴暗一样，后半段忧郁压抑，全广东都和男主过不去，年少被欺负，长大了还要被迫睡工地宿舍地板，what？广东外来务工人员住宿条件没差到这种地步吧？导演是想宣传中国人被压迫成这样？其他就不说什么了，这种打着宣传传统文化幌子，侮辱国人，讨好外国人的电影，就应该直接下架禁播，导演就应该直接封杀[tv_发怒],2021-12-28 22:05:49,2021-12-28 22:05:50,653,7425,https://www.zhihu.com/api/v4/answers/2289707251
引秒,1916,看这个舆论长这样就知道实际票房没多少，看的人多了谁还纠结你那眯眯眼？编剧的*还能保得住吗？编剧真应该给导演和美术供起来，不然他有多少*都不够*的。今天刚下定决心去影院看的，真被恶心坏了。顺着剧情讲一下恶心的点都是啥。开头的水墨可以说是全片最精彩的部分，但是生怕观众爽到非要加个旁白。人物形象非常扁平。为什么舞狮队员要拼了命地欺负主角？抢小孩子压岁钱这种事情是正常成年人在公众场合做得出来的吗？师父的人设非常割裂。电影剧情中有很多人在吃舞狮这碗饭，为什么只有十里八乡最好的舞狮队员不能吃？只有你师父师娘用吃饭其他人不用是吧？灌水角色过多。拜师剧情的老头，彻头彻尾的搞笑角色。嘿嘿嘿蓝毛眼镜，出场口癖和下场都不明不白。主角的工友，你每天的工作就是吃盒饭是吧。主角的第一场正式舞狮战，对阵嘿嘿嘿蓝毛眼镜队。这一场可以说是最重要的一场，标志着主角三人组正式踏足舞狮的领域，在击败了别人之后也有了充足的自信。好，你给我省掉了。你是觉得这个世界上写着略的答案不够多吗？主角去打工了，遇到的人为什么全都是恶人呢？打工人在你们文艺创作者心里就全是相互用力排挤的*人是吧？遇到了女主角，女主角表示家里人不想让她舞狮。所以您的冠军完全是靠天赋而没有经过任何系统的锻炼得来的是吗？传承这么久的舞狮文化就这？你说你做这个电影要弘扬传统文化，你看看你搞的这个海选赛是什么**玩意？男狮女狮向前冲是吧？请问狮子头相互挤然后下水体现了舞狮文化的什么精华？用脚熏人又是哪一式？然后陈家村舞狮队的人又**洗白了，说要替不知道从哪冒出来但是突然又不知道为什么扭了脚(“我的体力满格”“我扭了脚”)的主角上场。合着人物对你来说完全就是一块白板是吧，需要用的时候就擦干净重新写。官方给出的拒绝理由是你不是参赛队员，那主角这个从外太空杀出来的超级狮子头就是跟你报过名的是吗？最后所有舞狮人又全部洗白了，包括你主角送外卖迟到半个小时而且还撒了汤最后只是嘴你还给了你钱的无极舞狮队。下场给主角当气氛组当后勤组保障他们去搞那个什么什么(我记不清了)。你要搞大团圆为什么一开始要把人物塑造成绝对的坏人啊？人物形象是白纸呢还是厕纸啊？从头到尾就充斥着一股子文艺工作者的傲气。我这一段觉得舞狮人吃不起饭，所以师父不能吃舞狮这碗饭；我这一段又觉得可以了，所以主角去打工之后甚至阿猫阿狗可以去赚钱还能贴给主角家里。总之我说的就是事实！采风是看得起你知道吗？你的文化具体怎么样我根本就不想知道。舞狮比赛怎么比的？舞狮行业收入究竟怎么样？采过风了，连这些都不知道吗？先说一下，如果你觉得我说得不对，欢迎来评论区反驳我。但是别想到什么就发一条，再想到什么又发一条。知乎评论区可以写很长而且也有楼中楼功能，发一起所有人的体验都会更好。,2021-12-29 17:00:16,2021-12-30 13:15:05,87,375,https://www.zhihu.com/api/v4/answers/2290758675
一个名字,27,哈哈哈哈。。。容我笑一下 我一个广东人有被笑到 谢谢你 承包了年末的笑点舞狮动画羞辱广东人 你怎么不拍个扭秧歌电影然后羞辱一下陕西人呢？作的一手好死 好死,2021-12-21 23:00:38,2021-12-21 23:00:38,43,605,https://www.zhihu.com/api/v4/answers/2280760586
刘邙,6,你家票房冠军5天七千万？到今日12.26,2021-12-23 09:23:22,2021-12-26 10:56:17,26,203,https://www.zhihu.com/api/v4/answers/2282482466
烟语倾城,3,我认为不可能垃圾电影，有个毛线的采风中国舞狮老师傅，其实用脚臭来取得胜利怎么可能？！而且电影中还有踩舞狮头的场景，你确定你去过广东看舞狮？不知道这砸他人招牌的事？这可是不死不休的大事啊？你觉得人类有这种眼距吗？异形都比角色像人共青团都发话了，你们还洗呢？这样就比较合理了最后祝那些认为角色很好看的人，你全家都长这个样子。（我可没有骂人，我只是祝福你长成自己认为美的样子而已）最后发两张外国影视作品中中国人的形象，自己看吧。,2021-12-31 02:18:56,2021-12-31 05:24:14,12,215,https://www.zhihu.com/api/v4/answers/2292605111
温科水院,308,概述：一部在技术上有相当的进步的，画面渲染精美，却剧情平庸，人物塑造扁平，人物设计灾难，主题内核畸形，价值观落后封建，受众低幼的哄哄小孩和二极管小生还行的难以下咽的鸡汤电影。同样又是一部依靠近因效应（结尾效应）依靠结尾尴尬的渲染煽情以及高燃以蒙蔽观众使其忽略影片的整体性而去对影片做出片面性和过于主观性评价的电影。 近因效应：近因效应是指当人们识记一系列事物时对末尾部分项目的记忆效果优于中间部分项目的现象。这种现象是由于近因效应的作用。信息前后间隔时间越长，近因效应越明显。原因在于前面的信息在记忆中逐渐模糊，从而使近期信息在短时记忆中更清晰。这样依靠结尾高燃使观众在结束时短暂的颅内高潮的来去蒙蔽电影本身缺陷的恰烂钱手法真是快烂大街了，似乎观众和市场的反应力相当迟钝，仍然在一而再三的跳进这样的审美陷阱。同样的由于影片中的对传统文化的玷污丑化，对中国人形象的丑陋塑造，以及在“病猫”“胖猪”“瘦猴”“咸鱼强”等词的反复消费中透露出的对根深蒂固的毒害性的大男子主义以及畸形的弱肉强食的社会达尔文主义和“我要摆脱自我才能不受欺负”的畸形价值观的大面积宣扬下，这部片子应该是任何女性，亦或者是中国人，看了该黑着脸出电影院的电影。动画版的《燃野少年的天空》，如果不能摆脱这种陈词滥调的低幼低领的倾向，中国动画的巅峰你《雄狮少年》触及还远着嘞。1.人物形象西方人拍眯眯眼的中国人: 刻板印象！丑化中国人形象！西方人拍五官立体的中国人:披着洋人皮的中国人！崇洋媚外！西方人审美！西方人适中拥有二者特点的中国人:根本没有英雄气概！平庸！毫无特点！太路人了！中国人拍眼间距可以停航母的就差长在太阳穴上的眯眯眼，凸嘴，太阳穴凹陷，龅牙中国人: 民族骄傲！我身边很多长成这样的人！这是真实的中国人模样！有什么不好意思的！我爱中国！China number one！既然在宣发的时候，大量的打着“现实主义”的噱头，那当然就按“现实主义”的标准来评判。不要跟我扯别的，纵观这么多年的观影，这是我见过的最丑的人物角色。导演不会塑造人物可以不用塑造，而不是靠丑角来制造笑点，靠丑来塑造所谓“咸鱼”的身份，以及靠“帅”来塑造对手的强大。一股大男子式的思维，片中唯一长相可以言语的过去的角色，如师娘，又像极了3D区的蒂法，我真是很难觉得这只是一种偶合。男主的长相只让我想起另一部动画：《冰河时代》2.文化宣传宣扬传统文化  X韩国体育队纪录片✔️我不知道外国人看了这片子会怎么看待 舞狮 这项 中国人独有的“极限运动”，在毫无规则可言的比赛过程中，我丝毫没有看到任何的竞技体育精神，整个圈子都是垃圾，对手与对手之间毫无人性，也毫无动机可言的明争暗斗，甚至是为了胜利反复不择手段的不惜伤害对手，乃至不惜把对手从十五米高台上直接在毫无保护措施的情况下一脚踹下，这是所谓的“雄狮精神”，值得几个平庸少年拼断腿也要去拼下去的运动就是这样的？在影片中的世界观里，欺负弱小是顺理成章的，为了胜利也是可以不择手段的，这和现实中的中国体育队似乎有极大的反差，说是披着中国文化下的韩国体育队纪录片也不足为过。我说实话，我设身处地的代入了一下如果我作为一传统运动中的一员，其中有新鲜血液的加入，亦或者是有爱好者的加入，对我来说不是多开心的事？难道不该是喜迎新人？俗话说，主人公的对手的强大与否，决定他成功的价值大小。没有对比就没有差距，举同样的类似竞技体育题材动画《Megalobox》中的对手勇利来比较，要想使得主人公赢的让观众信服，移情，让观众能认可主人公，就要先塑造好对手，而不是纯靠形象和妆化烘托的刻板反派模子，这样的靠一组“艰苦生活”的视听流短暂积压情绪之后，马上刻意的“煽情”“高燃”的释放掉的手法，而不是靠将目标本身塑造的有意义，难以取舍，把对手塑造的立体强大之后的击败取胜。前者显然只能带来廉价的短暂快感。没有对比就没有伤害，另一部同类型的励志运动题材动画《强风吹拂》，同样是咸鱼翻身，人家是怎么讲故事的？《强风吹拂》3. 剧本x人物塑造前半段先是又臭又长的堆叠无聊幼稚能尬的人扣出三室一厅的笑点，后面又急转似的突然收尾。通篇所有角色扁平庸俗，剧情推动靠巧合以及喊口号，人物动机严重缺失，为剧情强行服务，开头对阿娟莫名其妙毫无征兆的使坏欺凌的同村舞狮队伍，只要为了剧情，为了强行给主人公设立一个艰难的生存处境，为了给主人公设置挫折和矛盾，似乎一切都可以毫无根据的合理，配角人均撒旦，没有动机，没有征兆的纯恶的在整部影片中念着尴尬到吐血的台词的陈家村一伙，在结尾又无缝衔接的突然转向主人公一伙，甚至不惜替对方上场比赛，所有的角色似乎毫无独立性可言，甚至已经不是为了剧情服务了，而是为了观众服务，只要观众的情感上认可这样的行为，只要观众爽，观众认可，就可以毫无逻辑的做出各种行为，这种身为作者的向观众下跪的不惜损坏自己整部作品整体性的行为，我个人先吐一口唾沫。通篇整部影片，剧本直接抛开了逻辑，也抛开了现实，口口声声说将建立以“现实主义”为基础的导演，却似乎在动画逻辑和现实逻辑中随意切换，在推进不动剧情的时候用动画逻辑强行推动，在我想煽情的时候强行回归现实，而二者之间形成的割裂，也很难让观众对主人公克服的困难形成一种心理上的认可。具体到我们可以讲如开着豪车的“初恋脸”女主，跟打着八分工，还要赡养着家里父母的男主说：“不要放弃梦想嗷”如作者似乎永远摆脱不开一种传统中国式家庭的苦难崇拜和自我感动，体现父母替孩子着想，就得一定是父母在外地工地上干活，生病也不愿说。孩子在外地打工，就得是住最差的，用最差的，莫名其妙的受同在外地打工的人的嘲笑挤兑。如全篇拙劣的披着周星驰外壳的庸俗的小丑式的制造低俗的喜剧笑点。如根深蒂固的大男子思维， “都是女人毁了男人最初的梦想”“女人帮男人实现梦想就是弥补当初的后悔”“女人就应该做男人的梦想启蒙导师”“女人有了一定成就后，就该老老实实的退居二线城市恋爱结婚把舞台让给男人”“每个男主就都必须依靠一个初恋脸女性配角去启发”如作者过分低幼化梦想的概念，以及模糊现实的难度的同时刻意渲染另一部分现实的困难，如主人公三人同在十八岁的年纪忽的毫无征兆想到了要去舞狮，如果说男主加入雄狮这个运动是因为不服气（也没有任何的塑造男主不服输的性格的段落），或者去当女主的舔狗，那阿猫阿狗加入的动机就极度缺失，二人莫名其妙的入伍，瘦猴由于看了一眼海报上的女主就加入了，胖子因为包吃住就加入了，二人加入的动机之轻易又随意，让我不得不为后面二人拼了命的苦练和坚持打上问号，两人强行的为剧情服务的完全丧失了任何自主性，独立性，变得扁平，空洞，只是随男主漫无目的的无怨无悔的拼死训练。此外在十八岁这一年突然的在毫无运动天赋与运动经验的前提下，就这样加入一项运动，并且就拼着一腔热血，甚至还三天打鱼两天晒网的靠着一个半业余教练的简陋方法训练的三个废柴，就能凭着一股意淫式的英雄主义，直接赢下一众专业训练多年的专业队。作者究竟在梦想这个命题上加入了多少幻想，我是不得而知的。有人要反驳我说，这是三人证明自己的途径，所以三人才卖力拼搏。但我的评价是，影片中不仅没有使得观众深信这是主角一行人唯一能获得自我实现的唯一方式，同时也除了画面上精美之外，也没任何的让我感受到舞狮这项运动的底蕴，和深厚的能让主角一行人深信的魅力。当然还比如最终的比赛场地竟就在我厂旁边，巧不巧合，意不意外，世界就是这么小。忽略台词的尴尬设计，类似以上的各种剧情漏洞仍然无数。主人公为什么喜欢舞狮，主人公为什么要想证明给其他人自己能行，主人公的植物人父亲和他之间有哪些爱恨纠葛，使得这个证明变得如此重要？主人公和师傅之间有没有什么矛盾？有没有什么继承关系？有没有什么相互实现的关系？互相填补遗憾的关系？有没有缺对方不可的互相依赖的关系？我反正，啥也不知道。 最后总结：中国影史上不是没有优秀的动画，在技术上的进步当然是值得鼓励的，可惜似乎有点徒有其表了，除了以上的缺点，当然还有如动作设计上的平庸，剪辑的错乱，节奏的紊乱等明显的硬伤。只能说，如果想制造出更好的作品，还应当是先老老实实先讲好一个故事（除非你硬走意识流）。这样的影片能收到如此追捧，我只能不禁反思如今的媚俗和反智的凶猛浪潮有多侵入大众的观影审美中。,2021-12-25 03:22:47,2021-12-25 03:22:47,14,211,https://www.zhihu.com/api/v4/answers/2285113505
Ember,16,癔症（分离转换性障碍）是由精神因素，如生活事件、内心冲突、暗示或自我暗示，作用于易病个体引起的精神障碍。癔病的主要表现有分离症状和转换症状两种。分离，是指对过去经历与当今环境和自我身份的认知完全或部分不相符合。转换，是指精神刺激引起的情绪反应，接着出现躯体症状，一旦躯体症状出现，情绪反应便褪色或消失，这时的躯体症状便叫做转换症状，转换症状的确诊必须排除器质性病变。发病原因1、生物学因素（1）遗传：最早的癔症遗传学研究是Kraulis在1931年完成的。他调查研究了1906～1923年期间被Kraepelin诊断为癔症患者的所有亲属，发现患者父母中有9.4%曾患癔症住院；兄弟姐妹中有6.25%曾患癔症住院。癔症患者的父母和兄弟姐妹中分别有1/2和1/3的人有这种或那种人格障碍。（2）素质与人格类型：通常认为，具有癔症个性的人易患癔症。所谓癔症个性即表现为情感丰富、有表演色彩、自我中心、富于幻想、暗示性高。国外还有不成熟、要挟、性挑逗等特征的描述。（3）躯体因素：临床发现神经系统的器质性损害有促发癔症的倾向。多发性硬化、颞叶局灶性病变、散发性脑炎、脑外伤等均可导致癔症样发作。2、心理因素现代医学观点倾向于癔症是一种心因性疾病。3、社会文化因素社会文化因素对癔症的影响作用较明显，主要表现在癔症的发病形式、临床症状等方面，有人认为也影响其发病率。发病机制癔症的发病机制尚不完全清楚，较有影响的观点大致可归纳为两种。第一种观点认为癔症是一种原始的应激现象。所谓原始反应即人类在危机状态下所表现出的各种本能反应。包括：①兴奋性反应如狂奔、乱叫、情感暴发等精神运动性兴奋状态；②抑制性反应如昏睡、木僵、瘫痪、聋、哑、盲等；③退化反应如幼稚行为、童样痴呆等。第二种观点认为癔症是一种有目的的反应。临床实践发现癔症常常发端于困境之中或危难之时，而且癔症的发作往往能导致脱离这种环境或免除某些义务 [1]  。护理上加强心理疏导，采用支持心理治疗方法，调动患者的积极性，激发其对生活的热情，坚定患者战胜疾病的信心。多给予关心、同情、安慰，给予患者生活上必要的帮助，多做细致的思想开导，辅以热情的关怀。随时疏导患者，消除不良情绪。癔症性格表现为情感丰富，富有夸张表演色彩，富于幻想，急躁，任性，易被别人的言语、行为和态度所影响。疾病发作时，如果亲属的言语、行为和态度不当，会形成新的不良暗示因素，造成症状加重，给治疗带来困难。因而患者服药期间要求亲属应保持镇静，避免过分关注和过分热情，避免惊慌失措，要正确对待该病的发生。为改善患者的不愉快情绪，亲属可有意识地转移患者的注意力，集中到有兴趣的事物或让患者暂时离开当时环境。注意到这些问题本身就可能改善患者的症状，对药物治疗也大有裨益。,2022-01-02 21:29:57,2022-01-02 21:29:57,2,42,https://www.zhihu.com/api/v4/answers/2295435050
盐值,2,可能会吧。毕竟影片投入很大，或是《魔童降世》的两倍，且完全没有找水军博主硬夸。毕竟画风写实，完全依据国人（广东人和东北人），眼睛大小是歪果人的三分之一，建模无可挑剔，不服去vx小程序[盐值]测一测。毕竟导演监制也出过很多好作品，羽翼丰满，人脉甚广，六公主，吴京等都曾夸赞这部国漫之光。毕竟豆瓣评分史高8.4，猫眼评分9+。毕竟我们三千一张票都能卖到爆满，试问古今中外谁能做到。毕竟抛开建模和事实不谈，故事令人感动。毕竟观众没有自己的思考，不会考虑我们的剧情和故事发展是否合理。毕竟在我们的投入下，“感动”了很多大触，博主，在为我们发声。毕竟为我们发声的人都很专业。毕竟各大平台UP都在夸赞这部国漫之光，口碑甚假，不对，口碑甚佳。甚至鲜有差评，差评更是被各大up称为“会后悔的水军”。毕竟国人基数虽大，也绝没有软骨头。奉劝大家不要在看关于雄狮少年的话题了，以免血压升高，骂两句还要被删。一群狗汉奸总要用普通人的身份把自己畸形的自豪感强加到别人身上，太过于西方理性的思考问题，完全忘记了自己是中国人。文章是很专业，想来一篇也要给不少，真的很缺的话我可以烧给你们，没必要自折阳寿。我可以很确信的说，这种人就是伪军精神的传承，没必要把他们当做同胞，敲破了键盘也是说不通的。,2021-12-30 10:49:07,2022-01-05 22:47:55,55,451,https://www.zhihu.com/api/v4/answers/2291546772
是谁在咆哮,13,最好的搬砖宣传片！！！ 讲真的，我看完真的感动哭了[大哭][大哭][大哭]。第一次有主流电影为搬砖宣传。穷人的出路不就只能是搬砖吗？ 搬过砖的我属实看哭了。导演为了让主角搬砖，让主角有一个贫困户的身世，但这还不够，再把主角老爹弄成植物人！你以为这就够了？ 不够，他让主角通过努力拿到全国舞狮冠军，然后主角终究发现还是搬砖挣得多，搬砖才是梦想。 有人说这就是现实？我现实你****，穷人没这么惨，麻烦你们到农村看看，真正的苦是什么。,2021-12-29 12:43:26,2021-12-29 12:43:26,5,99,https://www.zhihu.com/api/v4/answers/2290357992
满嘴仁义,513,这电影亏了有3个亿没？我只想哈哈大笑。刘慈欣的那句话说的很好。弱小和无知不是生存的障碍，傲慢才是。不是美国片得了美国病。,2021-12-26 16:07:38,2021-12-26 16:07:38,5,178,https://www.zhihu.com/api/v4/answers/2286647304
