author,fans_count,content,created_time,updated_time,comment_count,voteup_count,url
只是个收藏号而已,20,好起来了去看看贴吧和NGA老哥的评论吧,2021-12-22 22:09:54,2021-12-30 05:49:40,289,5418,https://www.zhihu.com/api/v4/answers/2282125670
疯死沃,96389,我现在相信，真的有人打算重塑正确的集体记忆了。刚刚还有朋友私信我说，甚至有人开始洗地说“我们原本的审美就是喜欢眯眯眼”。这洗地的论证过程是怎样的呢？说中国人现在的审美是欧美日本文化入侵的结果，原本就是喜欢兵马俑那样的，而且兵马俑就是眯眯眼。因此得证，中国原本的审美取向就是喜欢眯眯眼。事实是怎样的？先从近的时代开始说，再说远的古典时代。新中国的审美观：红色娘子军（1960）瓊花洪常青符红莲林海雪原（1960）小白鸽203胡彪李勇奇以及眼睛最小的角色：坦克（笑英雄儿女（1964）王成难不成连60年代的红色电影都是美国与日本文化入侵的结果？是不是所有新中国电影的审美都拒绝小眼睛呢？并不是这样。比如南征北战（1954）是小眼睛没错，但问题在哪呢？这个放到后面讲。然后既然他们提到了“不要被卡通审美同化”，那就提一下卡通审美。新中国卡通审美是这样的：天书奇谭（1983）蛋生说到这就又提到一个小眼睛角色，这也是水军最喜欢拿来用的一个概念：丹凤眼。这算不算眯眯眼呢？也放到后面讲。如果我们不复习这些曾经存在过的影像，单看他们说什么“审美自信”，说“被卡通审美同化”，再结合欧美迪士尼、日本动画中的角色千篇一律的铜铃大眼，以及这类话术：可能真有人要被“重塑记忆”，觉得我国本来的审美就是小眼睛，一个个跟着欧美和日本的审美观起舞，非要大眼睛不可了。可惜的是我们不仅有影像记录，大家更不是二极管思维。什么叫“二极管思维”？不要眯眯眼——就是推崇欧美日本漫画式的铜铃大眼。却忘了在这之间还有多种眼型尺寸，这不是二极管是什么？你比如说哪吒闹海。既不是眯眯眼，也不是铜铃眼，它也很有神，非常符合我们的审美口味。哪吒闹海（1979）这可是1979年，这也是被美国文化入侵了？既然聊到这了，就必须要对水军的最后一个堡垒进行攻坚：丹凤眼。什么叫丹凤眼？以吴道子的画为例：一眼看上去，不辨是非的恐怕就要鼓噪起来了：你瞧！这不是细眯缝眼吗！中国古典的审美不就是这样的吗！说到底，丹凤眼和眯眯眼是一回事吗？这里不提那些外貌协会制定的各种标准，什么眼角要怎样怎样，眼皮要怎样怎样——我们这里不是看相卖把式的，不搞这一套。诸位，请记住我的话：艺术审美是和艺术表达相挂钩的。这里我也不用拿那些现代艺术出来吊书袋，就直击小眼睛本身。请对比：诸位当还记得，陈漫这事当时，也是有很多洗地的，拿“丹凤眼”来说事。这次，请诸位记住喽，咱们一劳永逸地解决这个问题：艺术审美与艺术表达挂钩。既然水军要提审美，要拿“艺术”来当幌子，那么就得说，所有哪怕只懂一点点艺术的朋友都明白：所有艺术都有它的表达。既然都有它的表达，那么欣赏艺术的“审美”过程，自然就与艺术表达深深挂钩，不可脱离。是不是特别简单易懂的逻辑？要拿中国古典审美来说事，那就大大方方地说好了！拿出来对比，放到太阳光底下，任谁都可以仔细地瞧一瞧：嘿，要真是只论眼睛的话，下图的眼睛，反而比上图要大一些呢！难道上图比下图更让人糟心不成？所以各位，我们自己一方面要懂得不能唯眼睛论（回应了一开始南征北战小眼睛角色居多的问题），另一方面，也要懂得拨开水军拿古典审美和丹凤眼来当的挡箭牌。表达，表达，表达。艺术作品的表达，在很多时候，是可以被阅读出来的。中国古典审美中所说的丹凤眼，不谈面相，只谈表达：是从容与华贵相结合的威仪感。比如大家特别熟悉的关公：抱膝安坐，双眉紧蹙，不怒自威。这正是丹凤眼在古典审美中的符号化表达：从容与华贵相结合的威仪感。包括一些水军搬出来的兵马俑。你且不说兵马俑中多数是这样的神态：这样的：以及这样的：我的天，自己亲手找图时才发现，兵马俑根本不是以小眼睛为多数情况的。难为那些水军了，这得是翻了多少张兵马俑的照片，才能找着眯着眼的啊！言归正传。就算是小眼睛……我的天……我找了差不多半个小时，才找着这么一张眼睛勉强算小的。水军们还真是够努力的啊……就算是小眼睛，看其眼神。你就知道我想说的意思：艺术创作中，眼睛的大小并不能被独立地拿出来说事，而是要整体地理解其表达。有的洗地真是极为可笑，比如有朋友私信我补充的洗地言论：乍一看，很有迷惑性，仔细想想呢？我还是那句话，既然要说，那就拿到太阳底下好好看一看，看清楚了再接着说。这是西方黄祸论的眯眯眼：这是古人字画丹凤眼：再一次验证了我所说的：艺术审美和艺术表达是相挂钩的！两者想要表达的，天差地别，一眼可辨。虽然都是细小眼睛，但一个叫丹凤眼，另一个，只能叫“眯眯眼”。这不需要你回归古典审美观之类复杂的问题，任凭谁，只要他三观还算正常的，都可以轻易发现两者在艺术审美方面完全迥异的取向。再仔细观察一下两者对眼睛的处理，在外观形式上，根本不是洗地所说的“别管叫眯眯眼还是丹凤眼，只是抠字眼”。真的只是抠字眼吗？两者单看眼睛于外观形式上也有明显区别。所以，眯眯眼是眯眯眼，它绝不是丹凤眼。所以如果再有水军跟你说什么“不要搞西方ZZZQ，看到小眼睛就抵制”，诸位当知，我们的回复应该是：我们不抵制形式上的小眼睛，我们抵制的是眯眯眼。弱小、无神、失智、衰败、奸诈、阴狠，这是一些作品通过眯眯眼这一工具，所表达出的理念。正因如此，我们才需要抵制眯眯眼，并且要敏感地反对一切把眯眯眼加诸到国人角色身上的行为。眯眯眼可不可以用来传达正面理念？当然可以。艺术元素只是工具，传达是主观上的事，如何利用工具，是艺术技艺的范畴。工具本身可以是中立的，无理念的。但问题在于：当一些声音很响亮的势力，在长久的黄祸论宣传中，将眯眯眼与“软弱而又阴险”这一理念结合在一起时，眯眯眼作为工具，就被人为地“染色”，而变得不再中立。既然如此，在眯眯眼这一工具变得有污辱性质的时候，我们就不仅要反对它，更要很敏感地抵制它。你雄狮少年，今天是不走运撞上也好，是有意夹杂私货也罢。对我们来说，抵制眯眯眼，与你无关，也可能，与你有关。总结以上观点：1、新中国审美观一向没有专门以小眼睛为美，反而更偏爱大眼。这与欧美宣传关系不大，毕竟我们最晚从60年代起，就偏爱亚洲人特有的较大的眼型。2、即使是古典审美中的丹凤眼，也是在试图表达“从容、华贵、威仪”等元素。艺术审美与艺术表达相挂钩，要谈古典审美中的丹凤眼，就必须要谈其表达的这些元素，而不能单独拿出来说。3、兵马俑多数是大眼睛！！4、眯眯眼本是一种艺术图像，它本来是中性的。从黄祸论时代起，这种图像被一直拿来污蔑华人是“阴险、软弱、狡诈”的。事到如今，这种污蔑已然被上升到了刻板印象的程度。正因如此，原本中性无害的“眯眯眼”形象，也就被他们人为地染上了负面色彩，变成了污辱性的艺术语言。这是我们抵制眯眯眼的唯一原因，与小眼、审美、丹凤眼等等乱七八糟的事无关，拿后者出来说事的，纯属混淆视听。5、正因为抵制眯眯眼，才会抵制出现典型眯眯眼形象的那些作品。抵制眯眯眼，与它们无关。但也可能有关。毕竟，他是无意为之，还是有意夹杂私货，我们暂时还无从判断。近一年来，各种走秀、“艺术作品”、国内外影视剧……眯眯眼现象已经发展到了如此地步，不是我们敏感，是外界环境不断挑拨我们的神经，逼得我们不得不敏感起来。在这过程中，可能将来会产生一些误伤，也有可能会有人拿现代丹凤眼妆容来“反串黑”搅混水，试图把一些网友的愤怒引到正常的妆容上去。但无论如何，这把火已经被那些不断撩拨我们的人给点起来了。抵制眯眯眼，不是一时的舆论潮流，而是忍无可忍的结果。我说清楚了吗？题外话：“浓眉大眼”本是一种很帅气的亚洲人眼型。但，很长一段时期，某些人是刻意在引导我们，去抵制浓眉大眼的。这段时期过去也不过十几年，诸位当有印象。他们为什么要作此引导？想明白了吗？许他们引导大家抵制浓眉大眼，就不许我们自发地抵制眯眯眼了吗？仔细想想，这场以外形符号为主题的争斗，早就开始了。我们只不过刚刚才醒过味来而已。,2021-12-26 08:00:06,2021-12-26 12:36:01,980,19485,https://www.zhihu.com/api/v4/answers/2286206784
拂晓东方,876,举个例子。李诞客厅里悬挂如下条幅。人民群众已经出离愤怒了。这时，网上出现了不一样的声音：“你们反对这个条幅，是对病人的歧视。”（把反对mimi眼污蔑为样貌歧视）“谁说没有病夫，我到某地采风，那里很多病号。”（声称依据广东人样貌建模）“这句话哪不对了？我一个朋友就身体不好。”（献祭挚友亲朋力挺mimi眼）“你们照照镜子，看自己是不是病怏怏的亚健康状态？”（要求网友关掉手机特效面镜自省）“我国历史上就有很多人身体不好，比如蔡桓公、刘琦。”（引用关羽等历史人物进行狡辩）“宋朝诗人吕本中就写过一首诗名叫《病夫》，说明这条幅有历史传统！”（引用仕女图等作品为mimi眼开脱）“鲁迅就曾经指出，国人病了。这条幅没毛病。”（曲解名人名言进行洗地）“你们看过李诞的脱口秀吗，水平非常高。”（王顾左右而言他，只提电影内容，对mimi眼绝口不提）“这条幅是西方强加给中国的，如果生气就中了对方的圈套，说明我们内心不够强大。”（石砸狗叫的翻版，自欺欺人的典范）这些言论让人反感不？某片的水军就给人这种感觉。,2021-12-26 10:29:29,2021-12-27 15:15:21,72,3246,https://www.zhihu.com/api/v4/answers/2286313809
NMNOTNAME,18,不知道，但是这部电影的粉丝生活作息有些不规律啊额，我又发现这部电影粉丝对于9.5这个数字有点执着，也不知道为什么再更新，突然想到了当年的小品，放图上来顺便我想知道那个八爪鱼全网舆情的算法是怎么算的，怎么感觉和我所见所闻不太一样呢？96%的正面评论，想必票房一定很高吧，哈哈这部电影粉丝的默契同样超乎常人想象，无论多少人评分，1～5星的比例永远不变，这默契不去环太平洋开机甲真是可惜了刚刚才发现，某个狠吹这部电影的视频的评论区不能按照时间排序，真厉害啊这是其他视频怎么会这样呢？,2021-12-20 16:29:14,2021-12-24 16:38:57,47,2308,https://www.zhihu.com/api/v4/answers/2278860266
再见杰克,9,这部片子要是能回本在座各位都有责任更新，保卫我们的审美，保卫文艺创作，团结起来！叛徒必败！,2021-12-18 17:29:45,2021-12-24 11:07:34,32,2168,https://www.zhihu.com/api/v4/answers/2276493364
Ac7,130,在B站上看到的一则评论，私以为很贴切：“高质量内容+一点偏见=慢慢的就接受了”在人文社科领域上的进攻手法真是越来越高明，越来越令人防不胜防了……软战争亦是战争，而战争最能促进这类进攻性手段的技术升级。,2021-12-19 19:40:42,2021-12-19 19:40:42,85,3481,https://www.zhihu.com/api/v4/answers/2277727698
林夕邦邦,33141,我建议啊，证监会把上市的影视公司雇佣水军引导舆论的行为放到“操纵证券市场”里面，这就很有意思了。而且这确确实实是利用虚假信息扭曲股票价格，干扰投资者判断的行为，主客观行为一致，从严从重惩处。具体的操作方法也简单，上市公司参与的电影必须披露宣发费用，一部电影只要有上市公司参与就要披露宣发费用，不要让广电管，让证监会管，属于上市公司必须披露的信息，而不是什么行业自律公约之类的道德管理。然后再让央行反洗钱介入，你要是敢造假账，把宣发的钱做到其他明目里面，第一是涉嫌洗钱，第二是涉嫌偷税漏税，把税务也拉进来。一个道德问题这不就变成法律问题了，而且还可能涉嫌犯罪。把观众和股民一茬一茬的割韭菜，影视资本很开心嘛，无法无天，共和国里没人管得了你是吧。至于广电，就管好作品审核和票房造假问题就好了，哦，不对，票房造假也涉嫌证券诈骗，哪怕上市公司没有主观故意，也有主体责任落实不到位的问题，一样受处罚。你这么一套组合拳打出来，题主的问题还是问题吗？我们是法制国家，当然要依法处理,2021-12-18 08:14:24,2021-12-18 08:14:24,16,1302,https://www.zhihu.com/api/v4/answers/2275888399
Hey 啊奛,145,看看隔壁人家画山村小伙是怎么画的？这够平凡了吧？也不是帅吧？没网红审美吧？怎么就这么可爱呢？虽然电影还没出来，至少这画风我是不会拒绝的再看看雄狮这些角色都是什么玩意儿？这是帅不帅、平凡不平凡的问题吗？制作方还嘴硬，水军还硬洗！自己鉴定，这一句粤语不会还说自己两广人？！把建立在谎言和污蔑基础上的言论叫“讨论”？对不起我骂得是难听，但我起码敢做敢认，这些水军呢？还有这阴兵观众，一早就买好了未来两天的票，而且虽然日期和时间都不同，但他们买的座位形状都一样……好怕怕哦来来来，表演一下这个怎么洗？这就是这电影的恶毒之处，现在已经有人说，广东人就长这样，穷人就长这样，农村人就长这样……接下来就是老外说中国人都长这样，你中国人还不承认？这可是中国人自己说的,2021-12-20 12:30:09,2021-12-22 00:27:36,335,1516,https://www.zhihu.com/api/v4/answers/2278504678
jing394,37,转自一位观影后的网友：没什么别的，我和女票那天去电影院看，我俩都快气炸了，你要说不讨论眼睛，那就不讨论，那么我们讨论下剧情逻辑和传统文化，毕竟是参考现实的:1、导演说这是宣传传统文化，还说去了广州采风，那么红狮子用来庆祝，黑狮子才用来比赛，这些用错就算了，白狮子特么是办丧事的，怎么能出现在赛场上，这点都弄不清楚，也好意思说是宣传文化。2、父母离主角总共就几十公里，4年不回家就离谱了，这哪里是什么留守儿童，这是父母觉得孩子太丑，想抛弃了吧。。。我家离公司36KM，我每天都开车回家，即使是在05年条件有限，一周回家一次不过分吧，怎么就能4年都不回去看？3、一个才练过几个月的新手，基本功都不扎实，主角面黄肌瘦，跟个猴子一样，怕是连狮头都扛不起，居然能打败人家练了十多年的老狮子，台上一分钟，台下十年功是假的嘛，宣传这种努力无用的思想，导演是什么意思？4、抹黑其他舞狮人，其他舞狮人的都宣扬成恶势力，我是真不知道导演是怎么想的，这特么在宣传广州舞狮队是hei she hui嘛？5、父亲工伤，工地是要赔巨款的，男主怎么就沦落到从广东跑到上海打工的地步，是不是在抹黑广东打工没有保障，she hui黑暗？6、广东经济好歹也全国前三，为何不就近找工作也能拿到很高报酬，父亲病重瘫痪在家，不留在家照顾，何苦跑半个中国去寻找工作，导演意思是说，广东人很穷，导演看不起广东人？7、广东舞狮很赚钱，即便是小店铺邀请一次也有个千把块钱，都拿了冠军，肯定很多人请，这不来钱更快，何必去搬砖？导演怕是打心底起就看不起这些传统文化吧，认为传统文化赚不了钱，传承这些传统文化的都是穷人？8、比赛用臭脚作弊？？？？？？离天大谱，导演就是这么宣传我们中国人诚信观念的？9、踩狮头是最不能接受的，你以为黄飞鸿他爹拼死保护狮头是为了什么？这是砸人饭碗，挖人祖坟的操作。。10、表面光鲜亮丽，背地里就像宣传了中国社会很阴暗一样，后半段忧郁压抑，全广东都和男主过不去，年少被欺负，长大了还要被迫睡工地宿舍地板，what？广东外来务工人员住宿条件没差到这种地步吧？导演是想宣传中国人被压迫成这样？其他就不说什么了，这种打着宣传传统文化幌子，侮辱国人，讨好外国人的电影，就应该直接下架禁播，导演就应该直接封杀[tv_发怒],2021-12-28 21:43:02,2021-12-28 21:43:02,407,2729,https://www.zhihu.com/api/v4/answers/2289683814
Rallers,5283,尚气导演看了雄狮少年直呼内行。,2021-12-20 00:00:34,2021-12-20 00:03:08,30,1189,https://www.zhihu.com/api/v4/answers/2278003074
