author,fans_count,content,created_time,updated_time,comment_count,voteup_count,url
云间月,1320,从头到尾翻下来，居然没看到这张图。这张图在知乎最少值5000个点赞。不得不说，B站这推荐越来越智能了。——————2022.1.3真的5k点赞了，各位新年快乐，玩得开心。,2021-12-27 12:35:46,2022-01-03 14:02:24,222,6632,https://www.zhihu.com/api/v4/answers/2287548162
FUK LIS,33,一位记者问唐氏少年的监制：“请问张喵先生，人们说你的动画片主角跟唐氏综合征患者一样，是否属实?”不少人纳闷：怎么提这种问题？大家都关注张喵怎样回答。张喵不屑地说：“表达文化自信，传扬民族精神，最能代表我的国家”全场哗然，议论纷纷。张喵看出了大家的疑惑，说道：“我是美国人”顿时掌声雷动。张喵的机智打动了在场的所有人，掌声经久不息。,2021-12-24 10:51:54,2021-12-24 10:51:54,193,10132,https://www.zhihu.com/api/v4/answers/2284099661
人类观察员111号机,299,祝大家新年快乐吧,2021-12-26 12:40:27,2021-12-30 14:17:38,733,11558,https://www.zhihu.com/api/v4/answers/2286441894
Niketas Choniates,130,敌人比我们想象的还要多,2021-12-24 09:23:26,2021-12-24 09:23:26,140,3404,https://www.zhihu.com/api/v4/answers/2283961492
天空之傲,50,,2021-12-23 10:30:33,2021-12-23 10:35:33,56,2999,https://www.zhihu.com/api/v4/answers/2282593682
东平郡王,45,导演和监制的名字我记得了那几个宣我也记得了我给你们花一分钱算我输以前我怀疑某些人是不是能力不行，现在我明白了，他们不是能力问题，就是立场问题觉得唐氏少年很好的人，下图就是我对你们的问候,2021-12-24 00:39:23,2021-12-30 16:17:37,66,2316,https://www.zhihu.com/api/v4/answers/2283769467
stephen隋,1372,周星驰的《少林足球》于2002年斩获各路大奖，荣誉满身。这部优秀电影的女主角是赵薇饰演的阿梅——一个满脸胎记性格内向的蒸馒头女工。其他主角还有达叔饰演的瘸腿教练、少林功夫好耶的矮胖大师兄、为什么我爸不是李嘉诚的二师兄、够不到卫生棉的轻功水上漂以及分分钟几百万上下的金钟罩铁布衫，基本上这个足球队员除了酷似李小龙的陈国坤外都长得……不能说非常一般吧那也是丑的不行；更别说心中一团火的酱爆君与何尝没有梦想的猪肉佬那几位了。可是，有人说周星驰辱华吗？没有嘛！中国人真不怕演员丑，因为吃百样米生百样人，周星驰电影中丑的千奇百怪都很正常啊。我们中国人怕的是丑的整齐划一、丑的如此雷同！你三个主角，哪怕第一个眯眯眼，第二个宽眼距，第三个吊眼梢我都不说啥，问题你全部是一致的跑马宽眼距、钝角眯眯眼，这时候你跟我说这是我太敏感了，你说这是普通人，让我别自卑？说这弘扬了民族自信？我想拿气刀子攮你好不好！,2021-12-28 15:05:26,2021-12-28 15:05:26,86,3364,https://www.zhihu.com/api/v4/answers/2289156623
悍跳的老狼头,18,突然想到一件很恶心的事。现在很多平台上的喜欢这电影的人，驳斥别人时最常用的一个论调就是“你看都没看，有什么资格黑它”，可是如果我们都抱着这种心态去电影院看，票房就一下子炒起来了，就像当年的《富春山居图》。再配上豆瓣的8.4高分，之后再想说这电影不好时，他们会不会说：“《雄狮少年》制作精良，叫好又叫座，你有什么黑它。”我有什么资格黑它？我一个20年的广东人，见过千千万万广东的街坊，“打狮头”看了不知道多少场。我说你这电影不正宗还需要先给你贡献个票房才有资格？,2021-12-26 20:14:18,2021-12-26 20:14:18,175,3585,https://www.zhihu.com/api/v4/answers/2286882200
征虏大将军,418,,2021-12-23 18:46:35,2021-12-26 09:28:38,246,7319,https://www.zhihu.com/api/v4/answers/2283398366
Ehco,11,"鲍勃是一个住在纽约哈林区的非洲裔单亲留守少年，喜欢吃西瓜炸鸡喝葡萄汽水,母亲在皇后区工作。一日他看见路边有人打篮球，顿时心生向往,于是召集小伙伴组成球队并找到老迪克西当教练,这老迪克西拥有一枚总冠军戒指,退役后选择卖热狗。于是他们就开始训练,训练内容是长跑跳绳和RAP。有一天鲍勃的母亲受伤回家了，于是鲍勃毅然放弃篮球去皇后区餐馆打工,期间被霸凌只能睡洗碗池，但是他对篮球的向往并未减少。队友在鲍勃离开后决定去参加NBA总决赛,这事碰巧被鲍勃知道了，于是在比赛千钧一发的时刻鲍勃挺身而出一脚曲线射门打碎对方篮板赢得比赛，赛后鲍勃觉得纽约工资低于是跑到了墨西哥的放D。一《 篮球少年》导演:我们专门去了纽约哈林区布鲁克林和皇后区采风，我在当地看到的黑人就是这样的，希望黑人朋友都应该关掉美颜滤镜看看真实的自己。(转自b站)​",2021-12-29 20:04:54,2022-01-02 20:50:59,31,1562,https://www.zhihu.com/api/v4/answers/2290969056
保龙一族,51,说的很好，就一个小小小小小小小问题。“央视，这片儿你看了吗？”,2021-12-24 10:55:10,2021-12-24 10:55:10,30,1471,https://www.zhihu.com/api/v4/answers/2284105336
落雪为缤纷,3,这问题下夸的在匿名，骂的不匿,2021-12-23 11:59:56,2021-12-23 11:59:56,35,1779,https://www.zhihu.com/api/v4/answers/2282763701
子木年华,28143,广东人：可以评论了，大家憋坏了，快来一吐为快～,2021-12-27 21:13:53,2021-12-27 21:18:53,51,1114,https://www.zhihu.com/api/v4/answers/2288250243
cinder,5,有人说以前审美就这样……我就发几张海报,2021-12-26 19:39:08,2021-12-26 19:44:09,147,2639,https://www.zhihu.com/api/v4/answers/2286850183
知乎用户,4314,拉上央视，也没办法说明这部动画没辱华。想跑？没那么容易,2021-12-23 21:19:04,2021-12-23 21:19:04,101,1446,https://www.zhihu.com/api/v4/answers/2283564800
LLL ZZZ,1900,主创团队鼻孔朝天说广东人都长这样，居然还叫嚣叫中国人自己回去照照镜子。《雄狮少年》眯眯眼？监制张苗回应人物不好看_哔哩哔哩_bilibili这一句话，就透出了主创团队，对于中国大众的傲慢。之前的清华美院也好，陈漫也好，都透着这种傲慢。这种傲慢只会对中国，对于中国大众展现。而对于外国，他们的身段都很低，第一时间就把影片送去国外参展，把外国人的评价当作荣誉，甚至拿来作为对于中国大众批评的反击材料。挣钱还想要高高在上，让观众们跪着受教？2021年了，想什么呢？大家看看他们去广州参加艺术博览会的相关作品，脸部特写的作品，只有一副是海报翻版是宽眼距的。可见，宽眼距小眼睛是动画主创团队特制的，是不是他们觉得不是他们文艺圈子的观众们，就该长这样？追记。电影去看了。片子本身呢，属于那种故事很简单，一两句就说完了。做工是不错的，标准的作业水平。剧情逻辑上的瑕疵，为了满足艺术夸张，也能接受。总体水平呢，姜子牙这样的程度还是有的。不过说一句，整个故事背景，就是为了主线走向拼凑出来的，完全脱离现实中国。故事背景2005年，所以里面还是打公用电话的。但是如果按照那会儿的发展水平，一场舞狮比赛的决赛舞台比08奥运会场还高科技，这很难成立。那会电商物流也没这么发达，没那么多跑腿工作可以找。而且这个故事的思路就比较奇怪，主角们现在怎么样了一句话没说。但是，为什么事情会变成这样？我认为责任完全在主创团队自己身上。关于人物的形象设计，比如说咸鱼强的买家老板，眼睛就挺大的，跟马里奥似的。我觉得吧，主角和几个主要团队成员的面部设计，其实可以解释成为突出一种【衰相】，从面部突出他们就是那种命不好也没有运气的人。这样解释，就比较容易被人接受了。但是，主创团队在公关的时候做了什么呢？1，居然说广东人普遍就长这样。甚至还叫别人拿面镜子照照，这简直就不是人话了。2，还试图搬出国内外权威来给自己站台，这更加招致反感，激发民族和反权威的双重情绪。其实动画片是不是辱华，广大网友不知道吗？他们当然知道。但是他们更在意的，是主创们这种傲慢的态度。辱华的不是动画片里面的人物，辱华的是主创团队你们的傲慢。我能理解，按照这部片子的品质和完成度，还有之前在国外也得到了一定肯定，团队可能有些小得意，但是有些得意忘形了吧。什么叫做拿出一面镜子，看看自己长什么样子？中文里面，叫人回去拿面镜子照照自己，这是好话吗？这样说话，那也就别怪别人拿你们发泄情绪，往你们身上扣帽子，再踩几脚。,2021-12-26 10:07:42,2022-01-03 20:27:50,50,905,https://www.zhihu.com/api/v4/answers/2286292246
奉义天涯,125839,,2021-12-25 14:23:04,2021-12-25 14:28:05,67,853,https://www.zhihu.com/api/v4/answers/2285538592
一直住顶楼,111155,希望大家不要觉得我们南方人就长动画里那个样子。为啥长成那样算表达文化自信和弘扬民族精神，那我家的南方特色大眼睛难道辱华啦？我家老二，我的像素复刻版,2021-12-27 14:56:21,2021-12-27 15:23:34,98,1291,https://www.zhihu.com/api/v4/answers/2287740486
一路向西,4701,央视新闻还说过货拉拉司机唯一应该做的就是紧急刹车！,2021-12-31 02:33:48,2021-12-31 09:00:54,9,500,https://www.zhihu.com/api/v4/answers/2292608814
