author,fans_count,content,created_time,updated_time,comment_count,voteup_count,url
知乎用户,68814,英语里，有个特别的词。slant eye一般翻译成眯眯眼，特指对亚裔长相的侮辱。但slant本意是倾斜。这个词的字面含义是：斜眼。是的，你没看错，眯眯很重要，但斜更重要。很多人会说，确实亚洲人就长这个样子啊，没说错啊，怎么侮辱了？人说话，是有善意恶意之分的。棒子本就是物品，你对韩国人说这个词就是恶意。同样的，slant eye这个词，这个动作，就是恶意。所以不能说，不能做。下面给你们看看，恶意究竟有多大吧。希望能过审。以下图片来自美国网络流行表情包。（为什么亚洲人眼睛这么小？因为原子弹太亮了）（我：要当中国人！别人：你的眼睛不像！我：现在像不像！）（亚洲人的眼睛……无法睁开）（我娶了个眯眯眼的进口货，所以你懂的，我不是种族主义者）（眯起眼睛是因为太阳吗？不，是因为**的中国人）（中国唯一无法复制的：眼睛）,2021-12-29 03:59:04,2021-12-29 04:04:04,239,2143,https://www.zhihu.com/api/v4/answers/2289914648
猫耳朵,137597,·可不敢说。我这几天因为写了个舞狮少年的影评，给我删贴，限流量，我十几万粉丝，发个答案居然都没人能看到。再多说几句还不得把我号删了。·,2021-12-29 11:47:20,2022-01-01 16:04:06,26,1017,https://www.zhihu.com/api/v4/answers/2290278863
陆土根,89926,雄狮少年的问题根源其实不是眯眯眼，而是吊梢眼，也就是两个眼睛往外上斜并且眼角形成一个上挑：这种眼睛，会天然让人产生不适，甚至有一种“邪恶感”。比如说，在奥特曼中，邪恶奥特曼就是这种造型：可以说，即使不加标注，我们也能明显看出来第一张左边，第二张右边是邪恶奥特曼，从第二张图来看，这样的吊梢眼其实也可以很大，但关键是要有走向的上斜和外眼角的上挑。为什么我们会觉得右边邪恶，我觉得不是后天文化建构的问题，很可能是一种本能的审美趋向。要知道奥特曼是给孩子看的，这类作品都会很直接的在人物外观形象上区分出正邪。既然圆谷这么设计，就表明即使是小孩子也知道长着右边眼睛的人是“坏人”。美国人的傅满洲最开始是一个动漫形象，也是这种设计：只不过变成真人后，真人并不可能真的有那种上斜的眼睛，所以我们可以看到关于这种眼睛的模仿往往是故意用手上拉眼角：如果不刻意去拉，那么实际就是故意在外眼角画眼影，或者通过把眉毛画成斜上挑来表现，比如三只松鼠的广告：实际上，正常的眯眯眼并不会产生这种不适感，比如：邪恶吗？不邪恶，反而憨态可掬。所以反过来也可以说，并不是因为近代西方人设计的吊梢眯眯眼是基于辱华目的而让人不适，认为是丑陋甚至邪恶的，而恰恰是本身这种造型就很让人不适，让人觉得丑陋和邪恶，所以近代西方人才刻意使用了这种形象。,2021-12-28 18:27:47,2021-12-28 19:50:24,365,4542,https://www.zhihu.com/api/v4/answers/2289471341
战斗力旺盛的伯嚼,177,形式一片大好，不是小好，是大好，前几年吕燕出来的时候媒体说这是高级感，我还在反思自己的审美标准太狭隘，但是现在不会了，毕竟我已经能分清屎和巧克力的区别了，而且现在是央视推荐吴京点赞，大v捧场，但我们普通人不买单，这说明我们不再迷信权威了，这才是最棒的，我相信胜利属于我们,2021-12-29 07:51:58,2021-12-29 07:51:58,56,1232,https://www.zhihu.com/api/v4/answers/2289957257
照妖镜,882,帝国主义在海上架起几座大炮就可以征服中国的时代，一去不复返了。坏消息：帝国主义现在不在海边架大炮了，改在大洋彼岸，铺几张红地毯，架起几座摄像机的长枪短炮，装模作样奖励一个狗牌，照样可以征服中国人。好消息：以前帝国主义可以征服中国导演和中国观众，现在他们只能征服这些导演了。坏消息：这些导演主动接替了帝国主义的长枪短炮，炮轰中国人。好消息：中国观众把这些苟罕见怼回去了。坏消息：中国观众的手段还很稚嫩，力度还很保守。好消息：中国观众正在自发地升级手段，开发武器。总结，未来可期。中国观众虽然还没有“统战价值”的主动意识，但已经被动获取了统战能力。更新：评论区有人觉得悲观，觉得光我们反击没用，老爷和少爷们不肯反击，那我们激动也没有用了。我有充分理由告诉你们，不必悲观。什么叫市场经济？？？还有，为什么这些苟罕见就那么喜欢把帝国主义颁发的狗牌挂在脖子上，唯恐天下人不知道他们领了狗牌？？？！！！因为他们领的不是单纯的狗牌。在以前，中国观众毕竟在贫瘠的物质条件下，见识短浅很正常。因为没有见识，所以不懂区分好坏，即便隐约感觉不对劲，也会因为嘴笨说不出哪里有问题。在那种大环境下，观众辨别影视作品优劣的最常见标准就是“拿了什么奖”。如果大家还有一些记忆的话，应该记得，在90年代的时候，电视广告最常见的手段就是“本产品荣获xxx奖”“本产品远销全国/海外”。后来，国内一堆开奖状奖杯批发店的，疯狂批发奖状奖杯，导致这些奖项本身都变得没有公信力。这时候，消费者就不再认国内的奖状奖杯，转而找外国奖状奖杯来作判断标准。说白了，那时候，消费者都不懂产品，于是只能找第三方机构来做资格鉴定。国内的鉴定机构口碑崩塌了，就去找外国鉴定机构。现在不一样了。我们已经不再需要通过这些第三方机构来判断产品，因为网络破解了买家之间的信息隔绝，买家之间可以快速交流产品信息。“金杯银杯，不如顾客的口碑”在这个时代已经开始变成现实。而这些苟罕见一个劲讨好那些狗牌机构，图的就是这个。他们梦想的是“只要我领到了外国的狗牌，那么，消费者就会因为狗牌而高看我，产品就不愁销路了”。说白了，你真当这些苟罕见们舍得拿出他们自己的真金白银，来给帝国主义的审美殖民来燃烧奉献？？？苟罕见们要是真有这骨气，还能去当苟罕见吗？他们是想赚钱。我们要做的就是，坚守底线，上纲上线，宁可错杀一千，绝不使一人漏网。帝国主义狗牌，就好比封建时代的皇帝的御赐牌匾，这就是“金字招牌”，是永远不会贬值的宝贝。而我们要做的就是，脖子上敢挂帝国主义狗牌的产品，来一个黄一个，来两个黄一双。直到这些苟罕见终于意识到，严嵩的亲笔题词的牌匾，已经不是什么聚宝盆，而是破产败业的丧门星，沾上严嵩，只会大祸临头，这些苟罕见才会收敛起来。中国消费者信任欧美狗牌机构，已经持续了几十年。而真正意义上的正面猛烈反击，实际上是从2020疫情才开始的。之前那些反击，基本上都没有对欧美狗牌机构造成什么伤害。所以，我在这里告诉大家，不要灰心。既然是市场经济，那就好办。打烂他们的钱袋子，让他们赔的只剩裤衩子，让他们燃烧自己的真金白银，然后给帝国主义当炮灰。我就看他们经得起几轮烧钱，就看他们有没有烧的倾家荡产也要为帝国主义奉献。多来几个活教材，比什么都好使。补充：要敢于嘲笑那些领狗牌的。不要只是骂，还要敢于羞辱他们，最好能把羞辱他们变成一种笑料。让他们的狗牌变成笑料。以搞笑手法解构他们的狗牌，戴上狗牌就是笑料。,2021-12-29 14:29:25,2022-01-04 17:57:14,104,3114,https://www.zhihu.com/api/v4/answers/2290507807
saver,4,如何评价？,2022-01-01 21:20:53,2022-01-01 21:25:54,62,813,https://www.zhihu.com/api/v4/answers/2294462972
知乎用户,37870,我作为生活在美国的广东人来说一下吧。如果说这部电影仅仅只是在国内引起骂战，那对我和其他在美国的中国人，尤其是广东人来说，这电影感觉简直就像被背后捅刀子，可恨的是捅你的那些人据说还是祖国的所谓文化精英，据说他们在搞所谓文化输出，据说还在广东搞过所谓采风，还一脸的嚣张跋扈——“我们在广东采风一年多，你们广东人就长这个样”。在美国，舞狮的地位和功夫几乎一样，都是中国人的重要文化图腾，每年春节从唐人街的表演到几乎每一个稍有点规模的卖场都有舞狮和武术表演，唐人街的新店开张都必然有舞狮，每次舞狮都有大群洋人围观拍掌叫好。过去一个多世纪美国华人的主体就是我们广东人，功夫和舞狮是从上至李小龙成龙的电影下至无数老华侨们亲力亲为打造出来的强有力的文化IP。舞狮和武术本身就是不分家的，南派功夫极度重视马步和桥手，舞狮其实就是非常锻炼这两者的，甚至它的起源就可能是为了秘密练武的需要，拿舞狮这种喜庆活动来掩饰自己在练武。两者都是向洋人展示中国人的阳刚之气，是实打实的难得的文化输出。好家伙，当他们用功夫和舞狮展现中国人的精气神，美国人都没敢对这些舞狮功夫的前辈拉眯眯眼，国内这些文化精英们居然就这样不揣冒昧干了，这简直是在背刺我们，进一步坐实种族主义者对我们的刻板印象，并且直接侮辱这两个文化IP，破坏华侨先辈们留给我们的文化红利和难得的中华文化输出。说广东人长眯眯眼的，我不拿那些靠脸吃饭的明星们说事，请问你们翻开历史书，康梁、孙文、冼星海，叶挺、叶剑英、关山月乃至今天的钟南山院士、苏炳添易建联这些运动员等等广东名人哪个眯眯眼了？而最出名的几位武术名人李小龙叶问黄飞鸿都是佛山人，李小龙的父母就直接是顺德人，他们都是眯眯眼？咱们这些广东人样子很土，真没几个长得如此“国际化”。请问，当我或者我的子女在美国街头被人拉眯眯眼，我们要反击的时候对方拿出这部所谓电影，说你们中国人自己都刻画自己是眯眯眼啊这不是歧视，我该如何回答？如果这些骂战口水是网友对这部电影的断章取义，这电影清者自清，真理越辩越明，像某些洗地的说的那样只是几个镜头剧情很过硬，那请问资方或者X乎又何必如下图这样严防死守？？—————分割线—————我看到有的洗地的人居然拿星爷这个图来强行洗，说星爷也RH了：请问，星爷在电影里做这个表情的原因是啥？不就是因为那一幕的剧情里他这个角色做这个表情是出于用来侮辱对方的需要嘛，这难道不是恰恰说明这个表情本身就带着侮辱性么，和骂人一样？原来你们也知道，做眯眯眼表情是带有侮辱丑化的意思啊。反过来说，拿电影里这一幕来洗地，这就好比一个演员扮演日本人，在电影里说中国人是东亚病夫，然后你就截这个图来批判这个演员RH了，这是不是滑天下之大稽？,2021-12-29 09:37:29,2022-01-01 23:45:42,15,307,https://www.zhihu.com/api/v4/answers/2290061347
Peppermint,372,我是一个佛山土著。大概在四年级的时候，我们学校请了一位师父来开舞狮的第二课堂。当时班上有一位男同学，人不坏，但是容易发脾气，一言不合就会和其他人打起来。这个课一开，班主任在班会课开玩笑地和他提建议，你那么喜欢打架，不如去舞狮吧，说不定还能当个狮头。约莫一个学期以后，这个男生真的就做了学校狮队的狮头。当时我们让他在讲台给我们露一手，他也不推辞。90年代末的广东小学生，娱乐条件已经很丰富了，舞狮不是大家会关注的项目，但他一个学期的功夫也足够让我们惊奇。在这以后，我亲眼看到了这个男同学身上戾气渐渐不那么重，性格开始舒展起来，也有了更多的朋友。不能说自己是舞狮迷，但舞狮在我心里，是有一点重量的。所以《雄狮少年》出来以后，第一时间我就约朋友去看了。电影精彩吗，精彩。里面有非常多热血的桥段，狮头也非常精美，场景也非常用心，处处让我想起广州的繁华和顺德桑基鱼塘的恬静。但纵然如此，电影里还是有非常多让我看了觉得不舒服的地方。其中就是主角团的眯眯眼。并不是说广东人没有小眼睛，但是我相信大家对一个特定地区的人心中都会有一个大致印象。如果有留意的话，广东人的长相是偏浓眉大眼，但是鼻翼较宽、容易有龅牙，下半张脸钝感很重（这也是很多年前网上对广东人的长相一种地图炮是长得像猩猩）。《雄狮少年》把宽眼距小眼睛作为广东人的代表，身为广东人我感受到了攻击。并且这种被攻击感来自于曾经看过很多人说广东人“龅牙宽鼻翼”后，该电影的主创团队再搞个“眯眯眼”来雪上加霜。我们广东人长相本来在舆论上就不占优势了，导演还要把我们精明的眼睛这个优点也拿走了，好想打人。有些朋友说，故事想要讲述的是咸鱼翻身，diao丝逆袭的故事，那么导演用宽眼距小眼睛来代表这一类人，难道不是很合理吗。emmmmm…感觉这样想的话，对宽眼距小眼睛人士也非常不公平。何况导演在通稿里也表示得非常明白：“在形象设计审美上，我们的要求是去网红化，去掉滤镜审美。创作者画的时候，有在广东等地进行多次采风，最简单的方式，大家拿出镜子或者手机，将镜头的滤镜关掉，好好看一看，想想身边的人的样貌。我们没有一丝贬低谁的意思，但可以想想身边的朋友，想想如果是阿猫、阿狗的话，应该长成什么样子。”好家伙，写实以后就是这个样子…我也不晓得”实“在哪里。和普普通通的平均脸真的差很多但其实眯眯眼并不是让我觉得最难受的地方。最难受的是《雄狮少年》里关于舞狮的内核被扭曲了。在整个电影里除了一开始鼓励男主参加舞狮比赛的女生，其他醒狮团基本上就是”全员恶人“的存在。陈家村的狮头无疑就是村霸了，欺凌男主不讲道理；武馆里的醒狮团看似斯文实则阴损，不讲武德；阿娟送外卖迟到时遇到的那一队呢，盛气凌人，没事也要羞辱一下主角…从头到尾就显得强仔咸鱼醒狮团出淤泥而不染。这样的话还弘扬个什么文化自信，我们广东的醒狮文化是这样的吗？强身健体、锄强扶弱，以前的黄飞鸿电影没讲过吗？直到男主的强仔咸鱼醒狮团在最后的比赛中拔得头筹，这时以前看不起自己的狮头都开始给自己比个大拇指了。这价值观是不是…有点社达了？说到底，导演只是想拍一个咸鱼翻身的故事，然后用舞狮这种日渐式微的地方文化作为一个噱头。正如另一位答主 @李小喵 在另一个问题下所说的，这个故事变成龙舟少年、二胡少年也行，甚至非洲鼓少年也是OK的。如何评价动画电影《雄狮少年》？ - 李小喵的回答 - 知乎 https://www.zhihu.com/question/464023953/answer/2285953524这才是让我觉得最不舒服的地方。《雄狮少年》燃不燃？燃的，最后男主阿娟冲向擎天柱那一刻，毛茸茸的狮头化成一只真正的雄狮纵深一跃，这一幕可能是最接近我心中的醒狮文化的时刻。可惜整体上，无论是人物还是情节，《雄狮少年》代表不了中国，代表不了广东，更代表不了传统文化。,2021-12-30 16:44:06,2021-12-30 16:54:20,120,777,https://www.zhihu.com/api/v4/answers/2292088578
混沌无极大道,1,,2021-12-24 00:37:19,2021-12-24 00:42:20,44,466,https://www.zhihu.com/api/v4/answers/2283768010
大水学长,508,我从小玩到大的死党 ，是广东省东莞市大朗镇巷头村舞狮队 的教头所以看这部片子的时候我很气愤 1.主角团2个月用业余时间打败几十支从业十几年的专业舞狮队  ‍♂️，到底是想弘扬中华传统文化 ，还是想要说舞狮这种东西随便搞搞就能行-2.主角舞狮赢了全国比赛之后跑去上海 打工，是想表达中国传统文化继承了之后起不到任何作用吗？-从现实的角度出发，专业的舞狮队本身就可以作为谋生的手段，尤其是作为一支全国冠军舞狮队 ，近可承担全市红白喜事和门店开张 ，远可东征香港新加坡参加专业比赛，结果你跟我说他去上海打工❓-想要一个HE，理想化的结尾你也可以说他赢了一笔奖金爸爸也恢复健康了他从国家贷款去读大学了  ‍ ;如果你想说人生的很多努力都是徒劳的，麻烦你就不要侮辱那么多吃这碗饭的人 -我不能理解，一部形象上使用了吊梢眼，剧情上侮辱了舞狮的技术内涵，看不起专业的舞狮非物质文化遗产继承者，同时忽视了我国贫困补助和助学贷款制度的电影，可以称之为爱国的作品-确实，制作很精良，剧情的起承转合也合理，配乐很好听，但是，一碗巧克力味道的翔 ，还是翔,2022-01-03 00:34:02,2022-01-03 00:46:39,70,1712,https://www.zhihu.com/api/v4/answers/2295602361
