author,fans_count,content,created_time,updated_time,comment_count,voteup_count,url
赵皓阳,209467,吴京安利了《雄狮少年》不是什么大事，电影圈不是打打杀杀，电影圈是人情世故。吴京还推荐过《上海堡垒》呢，那时候《上海堡垒》天天绑着《流浪地球》营销，吴师傅还是厚道。当年半个娱乐圈还站台《摆渡人》呢，人家吃这口饭的，我们也要体谅。《雄狮少年》为啥营销经费这么充足呢？他的出品方北京精彩时间文化可不简单，年初一个《你好，李焕英》大爆，小成本换来了超高收益，现在有钱做宣传也不意外。北京精彩时间文化的创始人是张苗，同样也是公司的总经理、总制片人、总发行人。张苗曾经在美国哥伦比亚电影公司和索尼电影公司工作了十五年，之后加入了北京文化公司——就是跟郑爽签1.6亿片酬，现在已经挂了ST的北京文化。2020年离开北京文化，创立北京精彩时间。北京文化虽然现在涉嫌把股民的钱通过给明星高片酬“洗”到自己口袋里，但是前几年也是风光无限的，北京文化最有代表性的作品就是《战狼2》和《流浪地球》。张苗曾担任《战狼2》制片人及总发行人、《流浪地球》制片人及总发行人、《你好，李焕英》出品人及总制片人。我们说票房前五，三部吴京；同样的票房前五，三部有张苗。所以他自己出来创业，能撬动的资本可想而知，就像整个圈子里都跪求在吴京下一部电影里买到份额一样——求着给你送钱。而且“总发行人”这个职位，除了跟影院谈排片，管的就是宣传营销。所以大家知道《雄狮少年》一部目前票房八千多万的作品能有这么大营销的能量了吧？照我说，有这么多闲钱去烧，不如老老实实重新制作一边，把眼间距给改回来，真要能这样我自发作自来水。,2021-12-24 11:01:57,2021-12-24 11:06:58,361,3700,https://www.zhihu.com/api/v4/answers/2284116897
知乎用户,17199,第一种可能性：吴京在圈子里面混，总得讲情面第二种可能性：吴京也有自己的局限性，他能在之前一个阶段满足中国人树立自信的需要，并不意味着也能在未来满足中国人树立自信的需要。或许他也发自内心觉得眯眯眼不是个事。另外，我是真的能感受到满坑满谷。,2021-12-25 11:19:21,2021-12-25 11:19:49,78,350,https://www.zhihu.com/api/v4/answers/2285341230
狼牙风风拳,41,,2021-12-21 22:27:29,2021-12-28 15:24:43,139,3535,https://www.zhihu.com/api/v4/answers/2280725090
知乎用户,6781,京哥推荐的武打片，我会去看。京哥推荐的战争片，我会去看。京哥推荐的科幻片，我更是会去看。但是，京哥推荐的动画片？我保持谨慎，因为在此之前他真没拍过动画片。,2021-12-22 15:14:16,2021-12-22 15:14:17,36,535,https://www.zhihu.com/api/v4/answers/2281586025
知乎用户,38,这部片子，最大的问题不是内核，不是精神，不是舞狮，不是阿猫阿狗，也不是进城打工，更不是主角长得丑，甚至都不是主角是吊梢眼超大眼距。是里面的主要角色全部都是吊梢眼（眯眯眼）！人人长得不一样，有大眼睛就有小眼睛，有丹凤眼就有吊梢眼也有浓眉大眼，主角长得奇怪一点不算什么，他的小伙伴也奇怪点也可以接受，毕竟阿猫阿狗，人以类聚。但是为什么所有主要角色都是吊梢眯眯眼？！甚至就连长得漂亮的女主也是？而且这还是导演说自己在广东亲身经历所见。我直接呵呵了。这广东人要是不炸窝那才真是奇了怪了，这跟指着鼻子骂有什么区别？这个人物模型，明显就是夹带了私货的，你导演看不出来还是觉得群众看不出来？你也许能糊弄第三方跟投资者大老爷们，但是广大群众眼睛是雪亮的，而这最终的后果，也会显示在整体票房里面。不管别人看不看，我反正不会去看，不是因为什么反国产不接受小众群体审美，而是我不喜欢。你的建模让爷不舒服了，爷用脚投票，爷不爱看。2021.12.23更新最近看了很多相关的回答跟文章，不少人这么说：「不要抱着对宣传跟人物模型的刻板印象，要去看一下电影，电影内容还是很不错的。要支持国产动画电影，就算批判也先去看。」以上不是原话，只是大意如此。我确实是能理解主角为什么眼距跟眼型是这样的，估计是为了对标雄狮。但是还是有个根本问题没解决，那就是为什么所有主要角色的眼型都有问题？反而其他角色甚至是反角，都是非常正常的。不会是导演想说，草根角色就该都是歪瓜裂枣吧？而且最重要的一个问题是，为什么我一定得去看？要批判电影就得看完电影，这句话我是认同的。但是，现在大家是在批判电影吗？大家一直都在批判人物造型！而批判人物造型是不需要看完整部电影才有资格的！那或许又有人说：啊，这个造型是为了在电影里面XXX的时候，发挥XXXX的作用，不是单纯为了审丑。那跟我有什么关系？可能不少人已经忘了，作为观影者、消费者的我们，是占据主动权的！我们不需要什么人告诉我们这片子有什么意义，不看有多可惜。我们不需要公知、影评人告诉我们这片子有多好多好，赶紧去看。我们只需要遵从自己的内心就好了，用脚投票。「我到底想不想看」，这才是最关键的。看电影是要花钱的！钱是我自己辛苦赚的！不是大风刮来的！作为一个消费者，我们天然占据着主动地位，商家要做的是吸引我们，诱惑我们，让我们觉得这东西我需要，是好东西，值得付这个钱。而雄狮少年做得最差的就是这一点。也许它确实好看，也许真的只是人物建模时思想出了些问题，也许真是我们刻板印象。但是，消费者是没有错的，错就错在你商家连产品的卖相都做不好，连宣传都做不好，连处理宣传失误的能力都没有，让消费者直接望而却步甚至心生厌恶。愿消费者都摆脱冷气，只是向前走。不要听自暴自弃者的话。能做事的做事，能发声的发声。有一份光，发一份热。就令萤火一般，也可以在黑暗里发一点光。不必等候炬火。不再多说，一切尽在票房中。关于题目中的吴京，我原本不想说什么，毕竟问题的本质是雄狮少年，而吴京只是个切入点，但是仔细想想还是说一说吧。有些事情不是你不想做就能不做的，尤其这事情其实并没有违反原则的情况下。这片子有这么多人站台，而且除了造型的问题，这片其他的问题并不严重，吴京是没理由拒绝发声的，尤其是肯定有人求上门的时候。成年人的世界真没这么简单，除非你真的想浑不吝活成一个独夫。所以不要想太多，说多了，不过人情世故罢了。ps：当年上海堡垒吴京也做过这个事。,2021-12-21 14:03:30,2021-12-23 13:25:04,178,5426,https://www.zhihu.com/api/v4/answers/2280060954
看不见的罗杰,53349,,2021-12-27 12:15:49,2021-12-27 12:15:50,109,439,https://www.zhihu.com/api/v4/answers/2287524607
晓东,1124,所以呢？,2021-12-21 08:40:50,2021-12-21 08:59:18,129,8537,https://www.zhihu.com/api/v4/answers/2279598764
洛天二,1393,这电影的风评，在贴吧一边倒的骂，在b站八成以上的up在夸。骂的人指出小眼睛，宽间距，鸡汤太满，夸的人说电影剧情棒，看的过程中几度落泪。你看，两拨人吐槽的点都不在一个频道上，至于说“侮辱广东人”的，那是场外了，真假自己分辨。我就看一点，这电影票房不行，4天6千万，而且还光明正大“注水”，上座率极低，各种阴间观众。口碑两极分化，完全没有“黑马”的潜质，当年闪光少女，大圣归来，虽然前期票房不行，但是就被可是实打实的一边倒，全是推崇。这俩电影前面要是有雄狮的排片，早腾飞了，何必要观众自来水？何必要下跪求排片？商业电影首先要卖座。你这人物形象有争议，你让路人怎么看下去？饭再好，盛饭的碗是脏的，你还能吃得下去？？我就不懂了，在知道人物形象有争议的前提下，导演是怎么坚持做下来的？你就不担心票房？按正常的逻辑，有争议的东西肯定先放弃了，不管争议大小，趋利避害，人的天性，我理解不了。雄狮现在的票房，只能说自作自受，活该。最后说下  吴京推荐雄狮。说实话，我有点想笑，吴京是神吗？他说的话是圣旨吗？六公主也给雄狮做了专题推荐，你怎么不先把六公主带上？槽点满满的粉圈思维，我喜欢吴京，难道他说的话，我就不加考虑全盘接受吗？？有人三十岁开豪车，有人三十岁就没了，你怎么确定你不是后者？明星推荐这种，客气客气就完事了，片子好不好，自己去看最真实。郭凡当年参加《上海堡垒》首映，你猜他说的啥。对了，事情已经发酵到这儿了，票房也扑了，我建议导演等主创开一个直播，专门讲讲雄狮的争议点，别拿明星和政府背景背书了。别人家的电影为了求排片，都下跪了，你们这么淡定，我都有点怀疑工作人员这几年的努力喂了狗。寒心。,2021-12-21 13:54:53,2021-12-21 13:54:53,249,1860,https://www.zhihu.com/api/v4/answers/2280048860
强袭型吉姆,17175,那说明吴京也许真的很喜欢这部作品，除此以外什么也看待不了。伟人也有喜欢抽烟的，但抽烟的正当性并不会因此得到加强，而反对抽烟的声势也不会因此减弱。因为xxx也看了xxx作品，所以觉得这样是在强化这部作品声威的人，恐怕一直以来都毫无自己的判断力。而以此把xxx也一并摞起来准备打倒的人，当然也高明不到哪去。因为正常的逻辑是，无论是谁在推崇任何东西，任何人都有批判这件东西的权利。如果推崇的价值真的那么高，那么大家应该无条件相信任何广告才是。,2021-12-26 13:50:13,2021-12-26 13:50:13,4,76,https://www.zhihu.com/api/v4/answers/2286506884
LITTLELICK,6554,这片子吧，是北京精彩时间文化传媒有限公司的产品。看着好像有很多国产大作加持，但实际上属于刮蹭别人的作品卖自己的名声，大卖的电影都是别人的公司主创，自己挂个名字。但我想说的不是这个：主要股权两个，大股东是北京华录百纳，A股上市公司，第二个天津短视频的是张苗和别人的合伙企业。而张苗就是精彩时间文化传媒有限公司的法人代表。为啥说这个股权呢？因为这批乱七八糟的公司里面，只有一家上市公司：北京华录百纳，而这家公司最近的股市表现嘛......也就是12月7日开始突然暴涨，注意，这电影上映时间是12月17日，而股价在12月10日达峰并且一直保持一定高度，因为电影在8日、9日、10日超前点映过。如何评价雄狮少年观众大部分集中在凌晨集体观看 - 虎扑社区扯了一大堆，其实主要想跟大家说的，不是这电影的内容。实际上这电影出品的目的压根就不是打算卖座卖票房，而是卖话题度。不论是提前送奖、超前点映、网络炒作、半夜鬼看，都是为了保持话题热度，我甚至怀疑人物形象的夸张设计也是为了在上映后保持长时间热度做的改动。一切的一切，都不是为了拍电影，而是利用电影拯救自己低迷的股票市场。所以一切都说得通了，不论是多少人站台、多少人吹捧，都是为了维持话题热度，话题热度高就能一定程度地维持股票热度，股票涨了，做多挣了就争取时间准备做空。所以，这里面压根没什么侮辱不侮辱的，甚至说，人物的歧视化设计本身就是一种营销手段，煽风点火保持热度才是最关键的。所以站台的也不用太苛责他们了，生意罢了。,2021-12-26 10:51:28,2021-12-26 10:56:29,19,79,https://www.zhihu.com/api/v4/answers/2286335996
