author,fans_count,content,created_time,updated_time,comment_count,voteup_count,url
伏罗希洛夫射手,381192,辱华的人比你更清楚自己在辱华。现在这个形势，双方都是明牌了，不会存在什么误会。所以我早就已经厌倦了这种毫无意义的文字游戏，不如冷静下来想想自己能做些什么。语言的用途已经彻底竭尽，一万句话的价值甚至都不如一方灰。,2021-12-26 20:35:12,2021-12-27 00:43:03,392,4466,https://www.zhihu.com/api/v4/answers/2286901128
哦233,4,原回答直接被删除，还违法。我倒是想当面问问审核员，我违了谁家的法？———————————————————————————————————————国内没有引进尚气，我们国人自己拍了一部。,2021-12-16 06:17:21,2021-12-16 06:17:21,52,2849,https://www.zhihu.com/api/v4/answers/2272873607
石少人二,1615,不请自来。我觉得可能主创团队参考一些国外动画的时候，搞错了一些东西。比如说吧，《超能特攻队》里，就有野路子击败正规军这样的例子（小年轻自己开发的机器人，以及临时组的团队，打败了反派科学家的实验室成果和安保公司的正规职员）。这种套路，你要用在“创新”上，没啥毛病。可你要用在“传统”上……那我只能说，你，真身可能是个椰青。现出你的原形吧！不然你怎么解释你圆圆的硬壳里为啥一晃就都是哗啦哗啦的液体？周星驰的《功夫》里，草蛇灰线，明示暗示，主角一身功夫都是有迹可循的。为他后面高潮部分的打通任督二脉，伤势迅速痊愈，并终成一代大师夯下了坚实的基础。你这片子里可好，啥都不啥的几个临时凑数的草台的不能再草台的小团队，集训了一下子，就能舞狮？！你们团队号称去广东采了风，采的什么风？羊癫风还是白癜风？啊？哪种狮头代表啥，哪种旗号代表啥，你们采风采出来了个啥？别的不提，你们好歹看看黄飞鸿系列的《狮王争霸》来参考一下吧？光是“采青”有多少种你们知道吗？短时间培训就敢出来舞的，在我们老家，只有过年那时候才出来的“乞（祈）福狮”。一群人连敲带打带着大头娃娃连同舞狮俩人，舞完一个套路，一家才会给一个红包。红包里，能有五块钱，都算出手疏爽的了。为啥？因为那都是学徒，出来舞这个是为了“见世面”，磨脸皮用的。顺手熟悉套路。一个狮头，最轻的都得十三四斤，还不是比赛用的那种好狮头。一套狮鼓下来小四五十分钟，别的我不说，手上没点儿功底的人光举着这玩意四五十分钟都吃不消。更别提脚下的梅花桩还有单桩还有梯桩（采高青会用到，一般来说，高青会挂在牌坊最高处上，舞狮者必须用狮头噙下“高青”，才算真正获得报酬，当然，这种高青，价格不菲）。现在你拍个电影，说这么个草台班子练了几天就把别人练了几年十几年的传统技术给打趴下了拿了冠军……那要么这种传统没有含金量嘛，你拿它说什么事儿啊？要么，这事儿就假得没逻辑。全是因为导演要他赢所以他赢。难道不是吗？我，广东人。从小到大在广东呆着，18岁才出广东去了郑州读大学。我从会记事，就在一堆武馆包围着的房子里住着。那些学徒怎么扎的马，怎么冲的拳，我一清二楚。没有打熬好的肌肉筋骨，绝不可以随便学招喂式，不然就会伤了根基。这是武师们一致的话。即使那些武师之间相互看不对眼，门派不同，私下里也经常比拳，但对徒弟，这句话，是一致的。现在你这部电影，不，动画，到底想说什么呢？一代新人胜旧人么？英雄出少年么？不。我只看到了，你们在侮辱传统。你们用速成打败了苦练你们在展现“新生代”是如何“战胜老古板”。但是你们可以用别的来展现啊，比如，IT方面？干嘛要侮辱舞狮这个传统行当？！真当现在年轻人不懂舞狮了么？真当传统已死么？就算死了，你把它挖出来拿它鞭尸就好意思了？！别的我不敢说，我觉得你（这里指这帮主创团队）要敢拿赛龙舟做电影做成这样，湖南湖北俩地儿的人都能生吃了你们。不开玩笑。至于诸如“顺德到广州就算很远”“吊眼”“脸型”等问题，大家已经说了很多了，我就不提了。喏，我广东人，纯的。我俩眼珠子可没长成倒八字那样。身份证照片算最丑的了吧？以此为证。另，送上本人对该动画的评价：厨师很用心，烹饪手法很到位也很细致，摆盘非常精美，用的盛器也相当考究，上桌时温度也是恰到好处的，很多的美食家也对它有独到的见解和评价，许多大人物也都品尝过这道作品，而且有很大的资本愿意为它背书，为它站台，但，这一切的一切，都掩盖不了“金粒餐”奢华的本质，不外乎是一坨屎而已。———————更新分割线————————忽然想到一个更严重的问题，整理如下：长相问题咱们就请先甩开一边。这都是很表面的东西，而且它就摆在明面上，是甩不开的。关键在于这个动画反映的，宣扬的，或者说影射的内容，才是比长相外貌更暗黑的东西。我现在有一种感觉：人物外貌问题，它们是故意把主角弄成这样子的。这样一来的话很容易就会使人忽略掉剧情里其它那些更让人恶心的点。而因为角色相貌引战了的话呢，就又可以将话题升格到“民族自信”和“创作自由”等方向上去进行淡化，甚至会引出官方进行站台，从而使它的内核真正的抹黑和祸心被隐藏，被遮盖，从而达到真正的文化渗透（抹黑中国）的目的。不信你看，现在真正在讨论剧情的人是不是比起讨论外貌的人要少，而且少得不是一星半点？因为这都是有组织有预谋有策划的事情：抓住最抢眼的但却是最容易被冲淡和被消弭的冲突来进行放大，发酵，从而达到“明修栈道，暗度陈仓”的目的。你要说这些事情不是有预谋的，只是巧合，我是不太相信的。毕竟现在在我眼里看来就是太平乱世，政治警惕性必须要有。请各位暂停对人物外貌问题的批判，将矛头对准剧情内核！感激涕零，再拜再拜！,2021-12-25 19:09:59,2021-12-29 19:51:12,214,4046,https://www.zhihu.com/api/v4/answers/2285817690
宋祥远,12654,我劝某些人别拿自信两个字说事，自信是指我们坚持自己的看法，不是明知道有问题缺假装理中客，OK？西方国家有些人嫌弃我们吃内脏吃下水，但是我不会因为他们嫌弃就放弃在冬天整一锅羊杂汤，你不爱吃是你的事，我喜欢吃是我的自由，你管不着，老子不需要讨好你。而不是明知某些东西就是洋大人们歧视我们的时候才会用的，结果你弄出来给所有人看然后来一句赶巧了其实我没那么想，是你们想多了，你们不自信，那你就是玄武和玄武交配出来的。别说什么不要纠结这一点其它的还不错，那难道您的意思就是，只要做的还不错，其他的地方犯点原则问题就是可以的允许的？所以只要我家鞋子衣服做得好我就可以明目张胆的支持对你的五段匪帮并且公式，然后说虽然我在睁眼说瞎话但是我加东西好你快来买吧，别那么不自信，是么？LV首席大师设计一套寿衣样式的新款说专为中国老年人打造，你给你爹妈爷爷奶奶买么？给你做一个雕花的尿盆带个盖让你当电饭煲饭你用么，保证新买的绝对干净!别give you face you don't 要。以下原答案我们真的要开始警惕了，不开玩笑。我都不用跟你们再扯造型的事。因为这他妈根本就是美帝玩的那一套，根本不是什么“宣扬民族精神”!你要不信咱们慢慢看看啊。这电影里的广州人基本都是坏的，吝啬，欺负人，不给吃饭不给工钱。这不就是美帝电影/动画里所有外国/外族都体现出一种百姓的生活都有问题的套路么？主角团舞狮比赛怎么赢的？靠臭脚丫子把对手熏倒了赢得!请问这宣扬了个什么鬼？你要宣扬民族精神难道不是应该经过刻苦努力获得胜利么？靠小聪明/意外赢得胜利并且表述的还挺华丽这难道不是美帝电影/动画里一贯手法么？一个孩子，还是一个离父母距离远达23公里的“留守儿童”。周围的人(广州人)不是坏就是坏，欺负师傅，打工被工友欺负，还不给饭，怎么惨怎么来，没有努力付出只靠小聪明和光环华丽热血，最后还是要去上海打工。是不是像极了美帝电影里只要涉及到比如俄罗斯/苏联，朝鲜，越南，我国这些貌似跟她只要不是那么友好的国家全都是民不聊生百姓叫苦连天个个愚昧不开化的样子？就等着他们美帝或者上海这样的“国际化大都市”才能有救/有希望？朋友们，同志们，这压根就不是什么好东西上加了一点点别的，打根儿上他就是外部势力那一套!只不过换了层皮而已!你要非说我上纲上线也行，这电影团队只要敢拍一个发生在美国的故事，贫民区的黑人小孩从小不学好，因为没爸爸，在一次抢劫商店的时候被抓入狱然后痛改前非和几个自己牢里认识的人一起创业通过棉花种植勤劳致富，其中穿插这他们创业中的小片段比如一起吃炸鸡和西瓜。他要是拍这么一电影出来送到美国去参赛或者上映。我就承认我是上纲上线我是文字狱。丫敢么？,2021-12-26 19:17:52,2021-12-31 02:24:44,273,7022,https://www.zhihu.com/api/v4/answers/2286830552
飞跃本屯,13385,今天中午和一位三观一致的影视圈朋友吃饭。他专门去看过这部电影，并给予了很特殊的评价—他认为这是一部早晚能上影视学院教材的作品。因为这部电影，几乎汇聚了国内慕洋派们所有骚操作，以及国内影视圈的各种毒瘤(水军、刷票等)。堪称前无古人的反面教材。比如1：用河殇一代的思想聚焦底层。聚焦底层没问题，很多底层作品大家也喜欢，比如同样是底层励志的喜剧之王。但拍好底层励志就要懂底层人民追求幸福的逻辑（周星驰在喜剧之王里的奋斗是为了理想和饭碗），这样才能打动底层人民。而河殇一代的思想是自己高高在上，用自己那莫名其妙的思维来看待底层人民然后自我感动（比如陈凯歌白昼流星里那两个小偷的思想突然转变）。雄狮少年里的主角突然把舞狮当做唯一目标，可对真的底层来说，挣钱永远是第一目标，只有吃喝不愁了才能去追求理想。雄狮少年的主角行为，其实是一个披着底层外观的“小资”，不用想着吃饭而是去全力追求“理想”。所以电影不但无法感动人，反而处处让人觉得别扭。比如2：用神神高华的想象描述现实。打工只能去上海、离着20公里父母子女都见不到面，这些都是神神们描绘的中国。比如3：人物外观迎合西方人，这个说的太多了。比如4：如西方文化人把自己猜测的文化表现套用在中国人头上（踩狮头等行为）。比如5：学着白左那样打着正面旗帜（弘扬传统文化、关注底层人民）恶心人（没料到中国人现在不允许被白左人恶心了）这位影视圈的朋友对雄狮少年制作团队非常佩服，因为把如何多的慕洋元素缝合到一齐，难度那是相当大。,2021-12-30 15:16:27,2021-12-30 15:16:27,207,4399,https://www.zhihu.com/api/v4/answers/2291945451
我爱吃白菜,16,有位知友总结的很到位，但是看到的人很少，拿出来转一下：我总觉得，仿佛是这样的桥段：打个金镶玉的牌匾，用柳体欧体，写上“中国人-东亚病夫”几个大字，展示给全世界，特别对着中国人，说，中国文化就是好，中国字就是美，我这全是华夏文明艺术传承，给全世界推广，请大家多支持。字写的啥内容，您请忽略，要欣赏艺术，艺术。是这意思吗，恶不恶心,2021-12-19 09:25:10,2021-12-19 09:25:10,110,4802,https://www.zhihu.com/api/v4/answers/2277092357
Ac7,130,宣传战的高级玩法之一，便是透过自己能影响到的对方内部的人文社科领域工作者，使用精品输出的方式进行思想的渗透和改造，用精美的内容掩盖微量夹带的私货，潜移默化地改变对方人群—尤其是年轻人的三观，充分利用对方内部的争议来消解对自我劣化的心理警惕和反感情绪。在B站上看到的一则评论，私以为很贴切：“高质量故事+一点偏见=慢慢的就接受了”或者改成：“高质量内容+引导自我劣化=慢慢的就接受了”就更贴切了,2021-12-19 20:04:36,2021-12-19 20:04:37,16,653,https://www.zhihu.com/api/v4/answers/2277750265
微胖界第一美女,29,该问题还真不支持匿名，妈耶，主创团队你心虚什么，就算是不匿名，你这个片子也是夹带私货的烂片子！更新：我发现每次我发表一些爱国言论或者爱国相关的话题，都会被喷成筛子，不过也能理解，很多人要么收了 ，要么是自认为是理中客，总是觉得自己看的更全面，还有人问我，有没有看这个电影。我怀疑他是电影相关利益方的，那个宣传海报上很明显的病人形象，还要我去亲眼去看，然后回来再喷他吗？！这一定是另类营销手段。,2021-12-20 13:06:07,2022-01-04 15:24:34,20,1249,https://www.zhihu.com/api/v4/answers/2278548902
一直住顶楼,111135,人民群众不喜欢，你的审美算老几,2021-12-24 10:52:17,2021-12-24 10:58:50,13,1025,https://www.zhihu.com/api/v4/answers/2284100305
山舟,2393,"张三今天想吃碗饺子。于是他走进了一家家常菜小馆子，点了一份猪肉大葱水饺。满满一盘水饺端上来，味道正宗不说，量大管饱。张三吃的很舒舒服服。隔了几日，小馆子旁边开张了一家高档饺子馆。馆子门前一副对子。上联扶持产业。下联巨资打造。横批良心亲民。张三挺动心，于是走了进去。一进门，满眼的金碧辉煌，张三差点被闪瞎，看着眼前一水的欧式建筑，还以为自己出国了。张三走到前台，交了费，奇怪的是这家店只有一个价格，而且必须交费才能就餐。张三带着疑惑来到一张餐桌旁，看着桌前的餐巾刀叉，沉默。就在此时，一个满头金发的服务员走来。张三抬头一瞧，差点被吓晕过去。张三见到了他这辈子最恐怖的一张脸，那两个眼睛仿佛就是两个刀缝一样割在了人脸上。张三心里有些恐惧，但好在他也不是没素质的人，人家相貌丑陋虽然不假，但也不能因此就带上有色眼镜。这个服务员虽然样貌奇特，但是好歹说的还是中文。“先生，您要点什么？”张三看了看菜单。整张菜单，只有一个条目：中国水饺。张三有些疑惑，不禁问道。”你们这么大的餐厅就这一个菜？“服务员笑着回答：”是的先生，我们秉承着精品理念，只求用最真诚的心做出最符合大众口味的水饺。“张三再次沉默。“那就来一份吧。”服务员闻言，笑容又增添了几分：“您稍后。”不一会，服务员推着一辆餐车，餐盖打开，是一杯咖啡。张三不解。服务员笑着说这是咖啡。张三知道这是咖啡，他只是疑惑为什么要上咖啡，虽然疑惑，但是也没说出来，只抿了一口，张三就被恶心的吐了出来。他虽然咖啡喝的少，但起码知道咖啡的味道。但眼前这杯子里的东西根本和咖啡就沾不上边，只是颜色看起来像而已。“这什么玩意？给我一杯白开水。”“对不起先生，本店奉行高质量就餐，没有白开水。”张三强忍怒火，静坐不言。不一会，餐车又推了上来。餐盖打开，张三忍不住挑起眉头。一张看起来极尽奢华的欧式圆盘中，躺着三个水饺一样的东西。“您要的中国水饺，请慢用。”张三拿起刀叉，切开其中一个水饺。然后他又吐了。一股粘稠液体水饺里面流出，带着难以言明的刺鼻味道从扑面而来，张三立马就被熏的反胃不已。服务员闻声赶来。张三指着盘子里的那东西大声质问：“这是什么？！”“这是中国水饺，先生。”“你逗我？我没吃过饺子？你跟我说这堆屎一样的玩意是饺子？!”""是的先生，虽然他相貌不雅，但是味道绝佳。“”WQNMLGB，你来给我吃一个！“”对不起先生，我们不能动用客人的食物。”张三忍住反胃的冲动，看着盘子上那三个粘稠的东西。“你跟我说这是饺子，我从小到大吃了多少顿饺子，你是不是以为我没见过世面，拿这么一堆屎来搪塞顾客？”服务员带着职业的假笑，不慌不忙。”先生，我们制作的水饺，都是在当地进行了的广泛采风，是该地区饮食风格的高标准体现。“张三强忍着想抽人的冲动，指着旁边的家常菜小馆子。“广泛采风？高标准体现？你拿着这种恶心人的玩意，跟我说你们比旁边这家饺子馆好吃？真不要脸，人家开了多少年，就没有当地人说不好的，你再瞅瞅你这，刚开几天就端屎上桌，生怕人家在你这吃饭是吧？“服务员一如既往的带着职业假笑，只是说出的话驴唇不对马嘴。”先生， 未来我们还会推出各个风格的中国水饺，打造属于我们的水饺宇宙·····“张三听着烦躁，连忙摆手打断，然后把刀叉一扔：”我不吃了，退钱。“”对不起先生，本店规定一旦落座，概不退款。“张三一想着进门交的费比旁边饺子馆吃一顿的三倍还多就忍不住再次反胃。张三赶紧跑出店门，看着眼前张灯结彩的大门，想着里面腌臜不堪的情景，忍不住往门柱上吐了一口口水。然后转身便走向了旁边的家常菜馆子。",2021-12-27 18:34:26,2021-12-27 18:34:26,35,1343,https://www.zhihu.com/api/v4/answers/2288077614
